window,train_start,test_start,test_end,n_train,n_test,ridge_m,n_spanned,rho1,rho2,rho3,rho4,rho5,rho_oos1,rho_oos2,rho_oos3,rho_oos4,rho_oos5,top_macro_V1,top_macro_V2,top_macro_V3,top_macro_V4,top_macro_V5
92,2022-04-12,2023-05-24,2023-06-27,252,21,0.0,1,0.7638035555615897,0.5111799167891541,0.4791506144856811,0.4089020257852939,0.3880178889490454,0.6505278763408333,0.4098144693767516,-0.19432221582112355,0.4332209000183165,0.23105207246079257,fx_audusd(+0.71); fx_usdnok(-0.71); fx_bbdxy(-0.71),fx_usdcnh(+0.48); fx_eurusd(-0.40); fx_bbdxy(+0.39),ust_5y(+0.53); ust_10y(+0.51); tips_5y(+0.46),fx_usdbrl(+0.37); ust_2y(+0.32); ust_5y(+0.28),fx_usdclp(+0.29); epu(-0.27); ovx(-0.27)
93,2022-05-18,2023-06-28,2023-07-27,252,21,0.0,2,0.5988394148813064,0.5810830343029418,0.44780683204323707,0.3871198935788525,0.3377957786011887,0.3043218327022237,0.03280475454524413,-0.09418173109827126,0.12774060823268965,-0.029278963212244467,ust_5y(+0.67); ust_10y(+0.66); ust_2y(+0.64),xle(+0.72); fx_usdcad(-0.60); fx_usdnok(-0.57),fx_usdcnh(+0.36); fx_eurusd(-0.31); fx_usdbrl(+0.26),fx_usdclp(+0.37); bdiy(+0.37); fx_usdbrl(+0.31),fx_usdzar(+0.32); hy_oas(+0.30); bdiy(+0.29)
94,2022-06-22,2023-07-28,2023-08-25,252,21,0.0,1,0.7727181155495914,0.5189700558654831,0.4945668410018138,0.45794592351275304,0.36607431663592865,0.45076970637611913,0.11002117560116956,0.2720482285183667,0.4070106951930238,0.37443067493257365,fx_usdnok(+0.70); fx_bbdxy(+0.69); xle(-0.68),fx_usdbrl(+0.35); gvz(+0.30); fx_eurusd(+0.29),xle(+0.39); ust_2y(+0.38); fx_usdcnh(+0.37),ust_5y(+0.66); ust_10y(+0.64); tips_5y(+0.59),fx_usdbrl(+0.30); fx_eurusd(-0.29); inflsw_5y(+0.27)
95,2022-07-22,2023-08-29,2023-09-27,252,21,0.0,1,0.7592245357777507,0.5304906418259616,0.5081925542085597,0.44404842301372055,0.32828955788451336,0.5457918521638506,0.06145197633865726,0.30193486280994186,-0.1690651060672764,0.12843799038746267,fx_usdnok(+0.70); fx_bbdxy(+0.70); fx_audusd(-0.69),ust_5y(+0.59); ust_10y(+0.57); ust_2y(+0.57),spx(+0.33); mxwo(+0.28); fx_usdcad(-0.28),csi300(+0.41); shcomp(+0.32); ust_5y(+0.31),inflsw_5y(+0.30); be_5y(+0.30); fx_usdbrl(+0.25)
96,2022-08-22,2023-10-09,2023-11-06,252,21,0.0,1,0.7528590596861868,0.5628434327430623,0.500622669198385,0.43397727146612,0.34374253710742875,0.08165194855398329,0.3797348751589408,0.6299200100651751,0.3894453500863463,0.6393498994699913,fx_bbdxy(+0.70); fx_audusd(-0.70); fx_usdnok(+0.69),xle(+0.45); ovx(-0.43); ust_2y(+0.31),ust_5y(+0.63); ust_10y(+0.60); tips_10y(+0.58),csi300(+0.46); shcomp(+0.36); fx_usdbrl(+0.34),fx_usdbrl(+0.30); ovx(+0.26); gpr(-0.26)
97,2022-09-23,2023-11-07,2023-12-06,252,21,0.0,1,0.730542301483364,0.5863352673964732,0.5139953995948876,0.4634581818625693,0.4180163762520761,0.6091651053517692,0.2352870848813202,0.21600077945874943,0.23192245508963621,-0.19133769745372659,fx_bbdxy(+0.74); fx_audusd(-0.72); fx_dxy(+0.71),xle(+0.66); ovx(-0.44); ust_2y(+0.43),tips_10y(+0.44); ust_10y(+0.42); shcomp(+0.39),csi300(+0.47); shcomp(+0.37); hscei(+0.33),ovx(+0.46); fx_eurusd(-0.28); move(+0.25)
98,2022-11-01,2023-12-07,2024-01-09,252,21,0.0,1,0.7374358672507402,0.5763157520642362,0.5033942834431656,0.4527236497354328,0.395993690279701,0.6941267106696879,0.43746690054914283,0.33278406073235267,-0.08891751750854578,-0.027256344831709894,fx_audusd(+0.72); fx_bbdxy(-0.69); fx_usdnok(-0.68),xle(+0.61); ust_2y(+0.50); ust_5y(+0.45),tips_5y(+0.40); tips_10y(+0.40); ust_10y(+0.39),fx_usdbrl(+0.48); ovx(+0.40); gvz(+0.34),ovx(+0.30); csi300(-0.30); fx_eurusd(-0.23)
99,2022-12-01,2024-01-10,2024-02-20,252,21,0.0,2,0.7100344402568097,0.5961568308410691,0.461585060805249,0.431793427615118,0.35737511869063,0.4588420197087046,-0.1535197089325196,0.21194239739803866,-0.11651283026519463,-0.024136858646472917,fx_audusd(+0.72); fx_bbdxy(-0.70); fx_dxy(-0.67),xle(+0.65); be_5y(+0.39); ovx(-0.37),tips_5y(+0.42); ust_5y(+0.42); ust_10y(+0.41),gvz(+0.49); ovx(+0.42); fx_usdbrl(+0.39),epu(+0.24); xle(-0.24); csi300(+0.21)
100,2023-01-04,2024-02-21,2024-03-20,252,21,0.0,1,0.6917643213170845,0.5273499844886511,0.4657115358274643,0.4266021261114112,0.36819291343424265,0.48565370991144635,0.35426408119886876,-0.33550158207221215,-0.035842351315493584,-0.06825040256947855,fx_audusd(+0.74); fx_bbdxy(-0.71); fx_usdcnh(-0.70),xle(+0.69); be_5y(+0.43); inflsw_5y(+0.41),tips_5y(+0.33); tips_10y(+0.33); ust_10y(+0.29),ovx(+0.40); gvz(+0.37); fx_usdbrl(+0.34),fx_usdbrl(+0.30); fx_audusd(-0.24); gvz(+0.23)
101,2023-02-14,2024-03-21,2024-04-24,252,21,0.0,1,0.6267308525129042,0.4667147320149293,0.4453917369425615,0.36980850539463433,0.3387104435083998,0.4154413160670633,0.1433051888139757,0.1785390551909072,0.1164841986923586,-0.19382695483963036,ust_2y(+0.59); ust_5y(+0.58); ust_10y(+0.52),hscei(+0.37); xle(+0.37); spx(+0.36),xle(+0.52); ust_2y(-0.31); tips_5y(-0.31),ovx(+0.54); fx_usdnok(+0.43); fx_usdbrl(+0.40),tips_5y(+0.28); gpr(+0.27); vix(-0.26)
