date,F1,F2,F3,F4
2019-04-10,0.097770736,0.6065457,-0.510029,-0.6114983
2019-04-11,-0.23218898,-1.6729977,-0.8620575,0.767605
2019-04-12,0.36659616,1.0834966,0.42592132,-0.48051584
2019-04-15,-0.062010966,-0.49895173,0.44696444,0.20909426
2019-04-16,0.47661847,-0.7363275,-1.4461808,0.6381536
2019-04-17,0.81317276,0.06741031,0.15922178,0.5175637
2019-04-18,-0.8667789,0.10435592,0.030416299,-0.59181195
2019-04-23,1.4675676,-0.25889105,-1.6628134,0.6613523
2019-04-24,1.4199309,0.17513752,0.34416518,1.3306185
2019-04-25,-0.10854163,-0.40856603,-0.109950684,1.0363623
2019-04-26,0.36795798,-0.3395806,2.0328841,0.26993895
2019-04-29,1.2360493,-0.32014254,-0.62124115,0.87953424
2019-04-30,0.23786835,0.14126101,-0.5048589,-0.050127205
2019-05-07,-0.7508178,-1.8267812,0.76814926,1.9685669
2019-05-08,0.43279055,-0.53990155,-1.2396036,0.59399194
2019-05-09,1.3753055,-0.7355655,-0.16138963,0.8840288
2019-05-10,1.4268633,0.48154038,0.27076855,0.30300143
2019-05-13,-1.3472295,-0.7776705,0.5994626,0.25468525
2019-05-14,-2.2473722,0.54822415,0.27980965,-0.9325236
2019-05-15,-1.1963166,0.7839828,-0.32703257,-1.1144981
2019-05-16,-1.4935772,0.2015381,-1.5892614,-0.75281405
2019-05-17,0.17497884,-1.6118069,-0.566832,0.7978358
2019-05-20,-2.0171027,-0.40198997,0.47832957,-0.7668308
2019-05-21,-0.4818999,0.2490895,0.062432636,0.77359265
2019-05-22,-0.42949662,-1.3210843,0.7335557,0.7466697
2019-05-23,0.66522115,-1.1512547,2.120718,1.1462287
2019-05-24,-1.6316684,0.44995755,0.3643074,-1.5448654
2019-05-28,-2.3910105,0.068228304,-0.43122917,-0.82764846
2019-05-29,-0.56180465,0.0631774,0.005074412,1.0735118
2019-05-30,-2.117774,-0.11643013,1.3840635,-0.26638147
2019-05-31,0.2998916,-1.2863562,2.3928668,0.7380055
2019-06-03,-0.080197364,-0.48580903,2.7094493,-0.4861119
2019-06-04,0.32400414,0.45944396,0.07900664,0.41717052
2019-06-05,1.646384,-1.6299548,0.33316472,1.5853754
2019-06-06,-1.0351743,1.0752562,0.444238,-0.65005964
2019-06-10,1.2186285,-0.601873,-1.3374627,0.38343695
2019-06-11,-0.37555137,0.739942,0.5113921,-0.4595073
2019-06-12,-1.3495461,-0.38331658,1.7028203,-0.061589483
2019-06-13,-1.7658039,0.39118794,-0.10097989,-0.9287456
2019-06-14,-1.2370768,-0.5066895,-0.49302238,-0.3310972
2019-06-17,-0.71570903,-0.40957075,0.8886285,-0.15626717
2019-06-18,1.159471,1.6276212,-0.11760099,0.3500398
2019-06-19,1.02949,-0.21002343,-0.08393743,1.0149925
2019-06-20,-0.410702,1.9879495,0.46924123,-0.62369305
2019-06-21,1.4995836,-0.31273758,-1.2336905,1.0203717
2019-06-24,-0.48423964,0.7008471,1.3417994,-0.67047936
2019-06-25,0.70385575,1.0377785,-0.1469532,0.13602808
2019-06-26,0.95363253,0.32274172,-1.422177,-0.12600753
2019-06-27,-0.16019733,-0.7167485,0.41466972,-0.40477204
2019-06-28,1.8863189,0.32411942,0.4475247,0.60326576
2019-07-01,0.63877153,-1.314801,-0.5568091,1.2685648
2019-07-02,0.690514,-1.1244978,1.6428068,1.4544079
2019-07-03,-1.9728106,1.0795906,0.16185944,-0.78820574
2019-07-05,0.013350385,-1.0653962,-1.8798788,0.6562414
2019-07-08,-0.769948,-0.13336003,0.76899576,0.009762513
2019-07-09,0.4890448,-0.3513789,-0.14401199,-0.29850453
2019-07-10,0.40749657,2.510384,-0.82754207,-1.2428049
2019-07-11,-1.7566546,-0.4681192,0.5326362,-1.0440298
2019-07-12,0.03505137,0.37576112,0.6477367,-0.37934476
2019-07-15,1.2283392,0.64190185,0.7011281,1.5896612
2019-07-16,1.1236382,-0.31416696,1.5023147,0.46331215
2019-07-17,0.7459051,0.21940878,1.4303948,0.5810239
2019-07-18,1.19065,-0.48750514,1.43829,1.1351936
2019-07-19,-1.652983,0.026711743,-0.07259183,-1.5435469
2019-07-22,1.5519215,-0.5819967,-0.57535434,0.22454801
2019-07-23,-0.6999725,0.28038648,-0.16961023,-0.9086392
2019-07-24,-0.19090997,0.6986275,1.3829714,-0.19263865
2019-07-25,0.54492825,-0.8599124,-1.1269777,0.69078094
2019-07-26,0.1293775,-0.71327806,0.32775664,-0.34918678
2019-07-29,-0.0149830235,0.35735682,1.0851296,-1.1109922
2019-07-30,0.9599904,0.09790336,-0.51347864,0.3238964
2019-07-31,1.7487004,-0.28325275,-0.4206598,0.28628394
2019-08-01,0.6846452,-2.5866203,1.6613407,1.9420171
2019-08-02,-1.3336186,-0.24258067,-0.04436143,-0.57610667
2019-08-05,-0.3235604,-0.91249996,2.3095446,0.06531724
2019-08-06,0.78087074,-0.37193927,1.0278963,0.834291
2019-08-07,0.019512529,-0.25908428,2.9113915,0.021273153
2019-08-08,-0.7290119,1.6639813,-0.95162016,-0.72364956
2019-08-09,-1.1044327,0.18097515,-1.356131,-0.65850866
2019-08-12,3.0399659,0.20011425,-0.17512044,1.5779217
2019-08-13,1.6860082,1.4728663,-1.2537929,0.35777667
2019-08-14,0.20204356,-1.3594422,1.5006113,1.0434337
2019-08-15,0.11733738,0.044019565,0.6327887,1.506074
2019-08-16,-1.3406066,-0.09824163,-0.048096977,-0.5046767
2019-08-19,1.4096442,-0.4329536,-1.0205902,0.31402934
2019-08-20,0.88173306,-0.08187881,-0.18681522,0.05364331
2019-08-21,0.023407128,0.55851644,0.3584041,-0.47135794
2019-08-22,-0.73326606,-1.177396,0.37196553,-0.37254483
2019-08-23,0.9874726,-0.12077129,1.4171479,1.1062034
2019-08-27,1.0903443,0.92697877,1.3365229,-0.45653084
2019-08-28,-0.30203673,1.4301884,-0.25754666,-0.43541104
2019-08-29,0.76032513,0.27909163,-0.49453577,-0.30052537
2019-08-30,-0.022834372,-0.48467603,1.6220343,0.6966354
2019-09-03,0.82427204,0.024930973,1.943509,1.3351362
