window,train_start,test_start,test_end,n_train,n_test,ridge_m,n_spanned,rho1,rho2,rho3,rho4,rho5,rho_oos1,rho_oos2,rho_oos3,rho_oos4,rho_oos5,top_macro_V1,top_macro_V2,top_macro_V3,top_macro_V4,top_macro_V5
0,2013-10-21,2014-11-21,2014-12-22,252,21,0.0,5,0.6991790618082862,0.6068959814650768,0.511461779649636,0.4851620435691165,0.4173205485663247,0.5503554695787738,0.03998962009903379,-0.5067743836077236,0.18558640333694498,0.18925509787838948,xle(+0.54); ovx(-0.47); gvz(-0.25),gvz(+0.40); fx_bbdxy(+0.32); fx_audusd(-0.32),fx_usdzar(+0.34); fx_usdnok(+0.29); fx_usdbrl(+0.29),mxef(+0.47); vix(-0.44); mxwo(+0.43),ovx(+0.57); ust_10y(-0.49); tips_10y(-0.48)
1,2013-11-19,2014-12-23,2015-01-27,252,21,0.001,1,0.48537512419222806,0.3106267082955562,0.27084105689472926,0.2124709565819558,0.07218960135761263,0.5012705000426012,0.24785821955448833,0.14924650673803028,-0.04646137600896926,-0.04427105051931382,ovx(+0.90); gvz(+0.35); fx_usdnok(+0.32),vix(+0.80); spx(-0.66); mxwo(-0.63),gvz(+0.83); ovx(-0.35); epu(+0.26),epu(+0.87); vix(+0.45); spx(-0.39),gpr(+0.92); vix(-0.28); ust_10y(+0.22)
2,2013-12-23,2015-01-28,2015-03-06,252,21,0.001,1,0.4870871739898245,0.3140522868888429,0.21730524455383662,0.1996901289123301,0.06010514879031361,0.5070791658620969,-0.25271486310150115,-0.03768318559515248,0.2861467003819692,0.34047499620471233,ovx(+0.97); xle(-0.42); be_5y(-0.34),vix(+0.78); spx(-0.64); mxwo(-0.60),epu(+0.73); gvz(+0.54); tips_5y(-0.28),gvz(+0.61); epu(-0.61); vix(-0.28),gpr(+0.84); vix(-0.32); ust_10y(+0.25)
3,2014-01-27,2015-03-09,2015-04-08,252,21,0.001,1,0.4652993296713652,0.2636770509294917,0.24221438523707892,0.11012315594692425,0.07453887268517996,0.4174702415525031,0.14295628247301645,0.27617428711121395,0.5918993889222386,-0.0016441046205716062,ovx(+0.97); xle(-0.44); mxwo(-0.35),vix(+0.83); spx(-0.68); mxwo(-0.63),gvz(+0.79); epu(+0.41); ovx(-0.23),epu(+0.65); gpr(-0.63); move(+0.31),epu(+0.50); move(+0.50); gpr(+0.44)
4,2014-03-07,2015-04-09,2015-05-11,252,21,0.0,1,0.694467842490589,0.5586074236773493,0.4743487058997445,0.4471213413355001,0.32106808509159857,0.6660896987988184,0.06082143844270941,0.04028129590141514,-0.21876034757209717,0.13498290682507913,be_5y(+0.63); ovx(-0.63); xle(+0.62),ust_2y(+0.37); gvz(+0.34); fx_usdclp(+0.34),be_10y(+0.36); be_5y(+0.34); inflsw_5y(+0.33),vix(+0.49); mxwo(-0.44); hy_oas(+0.41),move(+0.41); hy_oas(+0.31); fx_usdbrl(-0.27)
5,2014-04-08,2015-05-12,2015-06-10,252,21,0.0,1,0.7053645569474654,0.5738033001263416,0.49495720287055306,0.40188180192486017,0.323239445262337,0.627488820784626,0.2741616353454853,0.20019068450942973,-0.05368109574992356,0.1782289010760433,xle(+0.63); fx_usdcad(-0.62); ovx(-0.62),gvz(+0.37); ust_2y(+0.36); fx_usdclp(+0.33),fx_usdcnh(+0.34); be_10y(+0.33); inflsw_10y(+0.30),vix(+0.47); mxwo(-0.40); fx_usdclp(+0.40),fx_usdbrl(+0.36); move(-0.35); fx_bbdxy(+0.26)
6,2014-05-14,2015-06-11,2015-07-13,252,21,0.0,1,0.7194211742186075,0.5510724313623678,0.48811611146801326,0.4019300987155187,0.33749751217935203,0.5407891215984097,-0.04611602280922611,0.09869931666485025,0.22923548791661677,0.2231122740823349,ovx(+0.67); fx_usdcad(+0.65); xle(-0.64),ust_2y(+0.36); mxef(-0.32); bdti(-0.31),be_10y(+0.40); inflsw_5y(+0.37); inflsw_10y(+0.37),fx_usdclp(+0.53); vix(+0.42); mxwo(-0.38),fx_usdbrl(+0.36); move(-0.28); fx_usdnok(-0.24)
7,2014-06-16,2015-07-14,2015-08-12,252,21,0.0,1,0.7272404455921656,0.5296639860186799,0.5112568779656458,0.4162563059296719,0.3593997087076351,0.651632618477694,0.1333830055419045,-0.3132685723277233,0.3178450468823616,-0.12217901699802472,ovx(+0.74); fx_usdcad(+0.63); xle(-0.62),fx_usdclp(+0.50); gvz(+0.42); fx_audusd(-0.39),be_10y(+0.34); be_5y(+0.31); inflsw_10y(+0.31),move(+0.46); inflsw_5y(+0.34); tips_5y(-0.31),fx_usdbrl(+0.50); fx_usdclp(+0.22); csi300(-0.21)
8,2014-07-16,2015-08-13,2015-09-16,252,21,0.0,1,0.7451382171937171,0.5261651343441476,0.5038473532689037,0.44500773857174125,0.36474202211397244,0.7545131883877346,0.37484478689837747,0.31638802924989784,0.16367098107452224,-0.11893994360915905,ovx(+0.74); fx_usdcad(+0.66); xle(-0.61),gvz(+0.55); fx_usdclp(+0.41); ust_2y(+0.40),be_10y(+0.34); ig_oas(-0.33); fx_usdclp(-0.31),fx_usdclp(+0.40); tips_5y(-0.37); move(+0.35),fx_usdbrl(+0.30); move(-0.29); inflsw_5y(-0.25)
9,2014-08-14,2015-09-17,2015-10-22,252,21,0.0,1,0.7627884570624086,0.5400362781206597,0.4973045622003578,0.4526534759890588,0.34817509498066695,0.20856447552493848,0.49449946243917975,0.02501356729718593,0.15510515572175987,0.09031888675394291,ovx(+0.67); fx_usdcad(+0.65); xle(-0.63),fx_usdclp(+0.52); gvz(+0.44); ovx(-0.30),ust_2y(+0.43); ust_5y(+0.37); inflsw_10y(+0.35),tips_5y(+0.44); tips_10y(+0.40); hy_oas(-0.40),fx_usdbrl(+0.43); inflsw_5y(-0.24); inflsw_10y(-0.23)
10,2014-09-17,2015-10-23,2015-11-20,252,21,0.0,1,0.7462709648469061,0.5716031196821045,0.5059948454215447,0.43421151901534505,0.3541043221687259,0.31769671535442984,0.1766085712535662,0.1607318824283175,0.24166698928442434,0.30502719245787,ovx(+0.69); xle(-0.67); fx_usdcad(+0.66),fx_usdclp(+0.53); gvz(+0.44); mxef(-0.30),ust_2y(+0.39); ust_5y(+0.33); bdiy(-0.32),hy_oas(+0.35); fx_usdclp(+0.32); tips_10y(-0.31),inflsw_5y(+0.36); inflsw_10y(+0.35); move(+0.34)
11,2014-10-23,2015-11-23,2015-12-22,252,21,0.0,1,0.7598980461957145,0.5746681972335712,0.4793073545014375,0.46597499657227326,0.38547519408867004,0.5014711378442674,0.6641137130644005,-0.30874950431471404,0.43906440241634803,0.024684472677261236,xle(+0.69); ovx(-0.67); fx_usdcad(-0.66),fx_usdclp(+0.55); gvz(+0.46); fx_usdzar(+0.30),tips_5y(+0.40); tips_10y(+0.36); hy_oas(-0.35),ust_2y(+0.39); ust_5y(+0.32); fx_usdbrl(+0.32),move(+0.39); inflsw_10y(+0.27); inflsw_5y(+0.27)
12,2014-11-21,2015-12-23,2016-01-26,252,21,0.0,2,0.7398016802379704,0.6258816316328889,0.4862963344961389,0.45401453163448396,0.39474369572644485,0.7805679369673757,0.06794334938877603,0.01975932428456254,0.2850483388266798,-0.4057341883361926,xle(+0.71); ovx(-0.68); fx_usdcad(-0.67),fx_usdclp(+0.60); gvz(+0.46); fx_audusd(-0.35),fx_usdbrl(+0.34); fx_eurusd(-0.32); ust_2y(+0.31),tips_5y(+0.43); tips_10y(+0.41); fx_usdclp(-0.38),move(+0.35); fx_usdnok(+0.25); inflsw_10y(+0.24)
13,2014-12-23,2016-01-27,2016-03-09,252,21,0.0,1,0.783086737474777,0.60926956437346,0.4750571454070013,0.41660508535742485,0.34276353690396977,0.7776976112349064,-0.009199338394125933,0.16939414148320503,0.1340018839687297,-0.13156451912263567,xle(+0.73); ovx(-0.73); fx_usdcad(-0.67),fx_usdclp(+0.55); gvz(+0.38); fx_dxy(+0.35),ig_oas(+0.42); hy_oas(+0.42); move(+0.38),csi300(+0.34); mxef(+0.34); tips_10y(+0.33),inflsw_10y(+0.37); fx_usdnok(+0.32); hy_oas(-0.31)
14,2015-01-28,2016-03-10,2016-04-12,252,21,0.0,1,0.7838969945456422,0.6034546382049366,0.5072517685505389,0.40606014101715404,0.3265102850961482,0.7467950523509017,0.5452773073675554,-0.07267179689898295,-0.2779678449093488,0.031554060955418455,xle(+0.76); ovx(-0.71); fx_usdcad(-0.71),fx_usdclp(+0.60); gvz(+0.34); fx_audusd(-0.34),ig_oas(+0.40); ust_2y(-0.39); fx_dxy(-0.38),csi300(+0.45); shcomp(+0.41); hscei(+0.40),fx_usdnok(+0.34); fx_usdbrl(-0.27); move(+0.24)
15,2015-03-09,2016-04-13,2016-05-13,252,21,0.0,1,0.8093138921690318,0.5568970792375977,0.4747876111167136,0.4324882291546745,0.3551643112995697,0.6364138907939069,0.169671947372639,-0.13462302994987418,0.13764995235171879,-0.00579711610727873,xle(+0.76); be_5y(+0.72); fx_usdcad(-0.72),fx_usdclp(+0.62); ovx(-0.26); fx_audusd(-0.22),fx_dxy(+0.49); ust_2y(+0.40); fx_eurusd(-0.40),csi300(+0.34); shcomp(+0.32); fx_eurusd(+0.31),tips_5y(+0.30); epu(-0.24); be_5y(-0.20)
16,2015-04-09,2016-05-16,2016-06-17,252,21,0.0,1,0.7971261934853469,0.5540186230855508,0.46823038092366426,0.42117043590642117,0.3888197785290454,0.5602631772968228,0.2963034945891122,0.21894768103525733,0.2020281732715492,0.005605286716159995,xle(+0.80); fx_usdcad(-0.72); be_5y(+0.71),fx_usdclp(+0.65); mxef(-0.31); fx_bbdxy(+0.29),fx_dxy(+0.52); ust_2y(+0.45); fx_eurusd(-0.44),fx_eurusd(+0.31); fx_usdnok(-0.28); epu(-0.27),fx_usdcad(+0.25); fx_usdbrl(-0.24); inflsw_10y(+0.23)
17,2015-05-12,2016-06-20,2016-07-19,252,21,0.0,1,0.7932886281987274,0.576572178360177,0.49099028188858196,0.4131319815257541,0.395541078281606,0.8092881714944521,0.1761666542868737,0.019263452945464703,0.3531555501274914,0.11266885001307814,xle(+0.79); fx_usdcad(-0.72); be_5y(+0.72),fx_usdclp(+0.64); mxef(-0.31); fx_bbdxy(+0.28),fx_dxy(+0.47); ust_2y(+0.42); ust_5y(+0.42),fx_eurusd(+0.37); fx_usdnok(-0.30); fx_dxy(-0.30),mxef(+0.29); inflsw_10y(+0.29); tips_5y(-0.26)
18,2015-06-11,2016-07-20,2016-08-18,252,21,0.0,1,0.7974331446224251,0.5844891320664629,0.5005914416927678,0.4178567880429936,0.37739293863613993,0.7381611328254574,0.0375606201901166,0.016300503310146347,-0.06741870785292875,0.05435513666284839,xle(+0.81); be_5y(+0.75); fx_usdcad(-0.73),fx_usdclp(+0.64); mxef(-0.37); hscei(-0.33),ust_2y(+0.40); fx_dxy(+0.39); ust_5y(+0.37),fx_eurusd(+0.31); hscei(+0.23); fx_dxy(-0.23),tips_5y(+0.39); tips_10y(+0.28); mxef(-0.23)
19,2015-07-14,2016-08-19,2016-09-22,252,21,0.0,1,0.8047829967960836,0.5779990360134948,0.49665512887114655,0.413043815844464,0.3594655523320968,0.673962250801418,0.44549870111842577,0.20427588253165288,0.3504481806918769,-0.33082447042670654,xle(+0.81); be_5y(+0.73); fx_usdcad(-0.72),fx_usdclp(+0.58); csi300(-0.33); epu(-0.33),ust_2y(+0.45); ust_5y(+0.40); tips_5y(+0.39),cny_10y(+0.26); tips_5y(+0.26); fx_usdcad(-0.24),fx_eurusd(+0.30); fx_dxy(-0.28); tips_5y(+0.23)
20,2015-08-13,2016-09-23,2016-10-28,252,21,0.0,1,0.7899036582836537,0.6008420344998369,0.5045701092395476,0.4273736483237213,0.3338811747677746,0.5343880753415177,0.08969639674833582,0.08245812441859102,0.09077968362433965,0.21598602666378133,xle(+0.83); be_5y(+0.73); fx_usdcad(-0.71),fx_usdclp(+0.57); mxef(-0.38); epu(-0.37),ust_2y(+0.35); ust_5y(+0.30); tips_5y(+0.29),cny_10y(+0.28); gpr(+0.21); tips_5y(+0.20),fx_eurusd(+0.35); fx_dxy(-0.31); fx_usdcnh(-0.25)
21,2015-09-17,2016-10-31,2016-11-29,252,21,0.0,1,0.7840918944170439,0.5802676974704984,0.4913524162422606,0.4745298301306534,0.38555627647661594,0.6284022814952077,-0.2232898823351421,0.45727876358781844,0.08844771263565192,-0.3911620380646589,xle(+0.84); fx_usdcad(-0.76); be_5y(+0.70),fx_usdclp(+0.58); epu(-0.37); fx_bbdxy(+0.35),csi300(+0.38); shcomp(+0.35); ust_2y(+0.19),tips_5y(+0.29); fx_dxy(+0.25); mxef(-0.24),fx_eurusd(+0.54); fx_dxy(-0.48); fx_bbdxy(-0.40)
22,2015-10-23,2016-11-30,2016-12-30,252,21,0.0,1,0.809042372759059,0.5578131476115078,0.5271284167852965,0.4945199766594104,0.3947147017212137,0.19764829946608933,0.436157783846387,0.1038901377276482,-0.2940675544552222,-0.2939292339218296,xle(+0.81); fx_usdcad(-0.74); be_5y(+0.69),csi300(+0.54); shcomp(+0.52); fx_usdclp(-0.46),csi300(+0.36); shcomp(+0.33); fx_usdclp(+0.28),fx_eurusd(+0.36); tips_5y(-0.33); fx_dxy(-0.32),fx_eurusd(+0.44); fx_bbdxy(-0.41); fx_dxy(-0.38)
23,2015-11-23,2017-01-03,2017-02-10,252,21,0.0,1,0.800509319281123,0.5802086701393127,0.4979098108217677,0.4614965875744038,0.3746194744466776,0.026182175932060948,0.44872690454599007,0.4858535428030396,0.0798283580413849,0.12921092214144828,xle(+0.80); fx_usdcad(-0.76); be_5y(+0.66),fx_usdclp(+0.46); fx_dxy(+0.44); fx_eurusd(-0.41),csi300(+0.63); shcomp(+0.61); hscei(+0.35),ust_10y(+0.30); tips_5y(+0.28); ust_5y(+0.28),fx_eurusd(+0.39); fx_bbdxy(-0.37); fx_dxy(-0.35)
24,2015-12-23,2017-02-13,2017-03-14,252,21,0.0,1,0.794903437772672,0.5990278076946318,0.4912141523075531,0.47422649585577803,0.35184013905140876,0.5522804697715469,0.06288808003455224,0.48435232492775254,-0.16798139035252033,0.10011218672482831,xle(+0.79); fx_usdcad(-0.76); ovx(-0.66),fx_eurusd(+0.42); fx_dxy(-0.41); fx_usdclp(-0.40),shcomp(+0.58); csi300(+0.58); hscei(+0.39),ust_10y(+0.40); tips_5y(+0.39); ust_5y(+0.38),fx_eurusd(+0.38); fx_bbdxy(-0.38); fx_dxy(-0.34)
25,2016-01-27,2017-03-15,2017-04-18,252,21,0.0,1,0.7420322990014805,0.5659138055733647,0.48959368343908216,0.45586701787728323,0.37110773514106377,0.7041746160396873,0.2336193268362651,0.2584827004344374,0.21645023713073167,0.13331095458557,xle(+0.80); fx_usdcad(-0.76); fx_audusd(+0.68),fx_usdclp(+0.42); fx_dxy(+0.38); fx_eurusd(-0.37),tips_5y(+0.45); ust_5y(+0.43); tips_10y(+0.42),bdti(+0.45); shcomp(+0.26); csi300(+0.25),fx_bbdxy(+0.46); fx_eurusd(-0.45); fx_dxy(+0.44)
26,2016-03-10,2017-04-19,2017-05-18,252,21,0.0,1,0.7334355668570666,0.5599213000424391,0.5348507727393507,0.44257975833773927,0.4154401383286672,0.6987728631363991,0.4204983619928617,0.10685724488806722,-0.17582222993574706,-0.07976057273254253,xle(+0.75); fx_usdcad(-0.74); fx_audusd(+0.67),fx_usdclp(+0.42); fx_dxy(+0.37); fx_eurusd(-0.34),ust_5y(+0.44); tips_5y(+0.42); ust_10y(+0.42),bdti(+0.42); bdiy(-0.24); gpr(-0.17),fx_bbdxy(+0.49); fx_usdbrl(+0.43); fx_dxy(+0.42)
27,2016-04-13,2017-05-19,2017-06-20,252,21,0.0,1,0.7340382727817608,0.5864219395438071,0.5169801189250711,0.4564120228874901,0.4127385876936873,0.8263982558039595,0.6712968601852456,0.29427525787268605,0.03064115961522252,-0.055385447947399725,xle(+0.75); fx_usdcad(-0.69); ovx(-0.65),fx_usdclp(+0.38); fx_eurusd(-0.37); fx_dxy(+0.37),ust_10y(+0.52); ust_5y(+0.52); tips_10y(+0.45),fx_usdbrl(+0.37); bdti(-0.33); fx_usdnok(+0.28),fx_bbdxy(+0.53); fx_usdbrl(+0.50); fx_usdzar(+0.40)
28,2016-05-16,2017-06-21,2017-07-20,252,21,0.0,2,0.750464926429107,0.6484391766043792,0.47784893932892475,0.4524345678270289,0.398610631130678,0.574038684872362,0.41989121316916317,0.22304820832237088,0.5481392963889772,0.03241930485812943,xle(+0.73); ovx(-0.70); fx_usdcad(-0.65),mxef(+0.39); fx_usdclp(-0.37); hscei(+0.36),ust_10y(+0.52); ust_5y(+0.52); tips_10y(+0.43),bdiy(+0.30); move(-0.28); fx_usdbrl(+0.26),fx_usdbrl(+0.52); fx_bbdxy(+0.48); fx_audusd(-0.43)
29,2016-06-20,2017-07-21,2017-08-18,252,21,0.0,2,0.7597371439433508,0.6354660028675546,0.5030439976985988,0.46504436077574196,0.41776819435999946,0.7021905755206017,0.4795721372203167,0.3191525246901516,-0.33032603527138754,-0.02758047516932855,xle(+0.74); ovx(-0.71); fx_usdcad(-0.59),fx_eurusd(+0.42); fx_dxy(-0.42); mxef(+0.39),bdiy(+0.36); fx_usdbrl(+0.35); shcomp(-0.34),ust_10y(+0.43); ust_5y(+0.42); ust_2y(+0.41),fx_bbdxy(+0.41); fx_usdcnh(+0.37); fx_eurusd(-0.37)
30,2016-07-20,2017-08-21,2017-09-20,252,21,0.0,2,0.7568557632899585,0.638297611413189,0.5148016259161081,0.4515074303157826,0.3686818868360568,-0.0013180587058233505,0.2184825461318383,0.0318351154509417,0.23558842238290434,-0.18748138023333114,xle(+0.74); ovx(-0.67); fx_usdcad(-0.53),fx_dxy(+0.44); fx_eurusd(-0.40); mxef(-0.39),bdiy(+0.49); fx_usdbrl(+0.32); spx(-0.31),ust_5y(+0.44); ust_10y(+0.42); fx_bbdxy(+0.41),fx_audusd(+0.21); be_10y(+0.21); fx_usdcnh(+0.21)
31,2016-08-19,2017-09-21,2017-10-26,252,21,0.0,4,0.7233301827687622,0.6180804433313062,0.5365147914941787,0.4523531413828262,0.3020353899217019,0.5647698893639663,0.3921957313939374,-0.29849281470881306,0.24427307395335587,0.3333191075253682,ovx(+0.67); xle(-0.66); fx_audusd(-0.53),fx_dxy(+0.34); mxef(-0.33); hscei(-0.32),bdiy(+0.46); fx_usdbrl(+0.36); spx(-0.33),ust_5y(+0.49); ust_10y(+0.48); tips_10y(+0.42),fx_usdcnh(+0.26); bdti(-0.25); fx_usdclp(-0.23)
32,2016-09-23,2017-10-27,2017-11-27,252,21,0.0,4,0.6957962769228911,0.6012338226786037,0.5547781650623111,0.45650472956306926,0.3255356498817925,0.5299751847381261,0.10360152679687339,0.35513705763425024,0.4310347243100149,-0.06717257853342884,ovx(+0.69); xle(-0.64); fx_audusd(-0.52),fx_usdclp(+0.45); fx_dxy(+0.41); fx_eurusd(-0.38),bdiy(+0.48); spx(-0.35); fx_usdbrl(+0.30),ust_5y(+0.46); ust_10y(+0.44); fx_bbdxy(+0.40),fx_usdcnh(+0.40); fx_usdnok(+0.35); bdti(-0.32)
33,2016-10-31,2017-11-28,2017-12-28,252,21,0.0,4,0.7309483200938683,0.6328104846566355,0.5719230549495038,0.45939580551946185,0.33540987569198594,0.49587597778646164,0.5132583746750542,0.17878242361167296,-0.07778033147502378,-0.03032779713498448,ovx(+0.70); xle(-0.63); fx_usdnok(+0.47),fx_dxy(+0.48); fx_usdclp(+0.45); cny_10y(+0.41),bdiy(+0.49); fx_usdbrl(+0.33); fx_audusd(-0.31),ust_5y(+0.42); ust_10y(+0.41); ust_2y(+0.37),fx_usdcnh(+0.34); bdti(-0.30); fx_usdnok(+0.29)
34,2016-11-30,2017-12-29,2018-01-30,252,21,0.0,3,0.7172380007177913,0.6343282792645677,0.5917010431501484,0.41222004321400135,0.33439063557258353,0.38615419402520795,0.2255931058100149,-0.15871496320329925,-0.2164523357072959,0.17071935999665563,ovx(+0.66); xle(-0.61); tips_5y(+0.48),fx_usdclp(+0.49); fx_dxy(+0.48); fx_eurusd(-0.40),bdiy(+0.46); fx_usdbrl(+0.43); cny_10y(-0.35),bdti(+0.41); fx_eurusd(+0.27); ust_5y(-0.27),fx_usdnok(+0.37); fx_usdcnh(+0.33); gvz(-0.27)
35,2017-01-03,2018-01-31,2018-03-12,252,21,0.0,1,0.723482572508967,0.5997254063858598,0.5360012727291917,0.44063974199547234,0.32353931848753587,0.7757185521102248,0.3112345300501283,-0.1757526129812547,0.04498440632379718,0.16971627939427172,xle(+0.69); ovx(-0.67); fx_usdnok(-0.41),fx_audusd(+0.57); fx_usdclp(-0.51); fx_usdbrl(-0.47),ust_10y(+0.42); tips_10y(+0.41); ust_5y(+0.41),inflsw_10y(+0.33); move(-0.33); mxwo(+0.23),fx_usdnok(+0.32); gvz(-0.31); bdti(-0.27)
36,2017-02-13,2018-03-13,2018-04-16,252,21,0.0,1,0.7515782561169911,0.5754905459889583,0.5563177122703818,0.39591355449103477,0.33045607624785156,0.4762001734934526,-0.05110448941447919,0.14456168064360103,0.009805361271781825,-0.048058412414042434,xle(+0.69); ovx(-0.60); inflsw_5y(+0.46),fx_bbdxy(+0.56); fx_usdclp(+0.53); fx_audusd(-0.53),bdiy(+0.40); fx_usdbrl(+0.38); tips_10y(-0.31),epu(+0.33); inflsw_10y(+0.31); move(-0.28),inflsw_10y(+0.36); fx_usdnok(+0.32); inflsw_5y(+0.25)
37,2017-03-15,2018-04-17,2018-05-18,252,21,0.0,1,0.7420649716609232,0.5992272099183176,0.5046987619144251,0.395855610628344,0.31259565654239047,0.06755639503839016,0.6408694478716721,0.021983483358297716,0.1706958905500009,0.30154572376181815,xle(+0.68); ovx(-0.53); fx_usdnok(-0.44),fx_usdcnh(+0.53); fx_dxy(+0.52); fx_usdclp(+0.52),fx_usdbrl(+0.53); fx_audusd(-0.31); mxef(-0.29),inflsw_10y(+0.46); fx_eurusd(-0.34); move(-0.32),fx_usdnok(+0.32); vix(-0.24); gvz(-0.24)
38,2017-04-19,2018-05-21,2018-06-20,252,21,0.0,2,0.7389557274163155,0.637235142308981,0.5131381701565111,0.4013053821846496,0.30110545740565026,0.6556782227572142,0.1316066515034473,0.37880945063425575,0.06897416889371749,-0.4269374799709135,xle(+0.66); fx_usdnok(-0.53); ovx(-0.49),fx_usdcnh(+0.54); fx_bbdxy(+0.54); fx_dxy(+0.53),fx_usdbrl(+0.45); fx_audusd(-0.29); bdiy(+0.28),mxwo(+0.31); inflsw_10y(+0.30); epu(+0.27),fx_usdnok(+0.31); mxwo(+0.31); vix(-0.29)
