window,train_start,test_start,test_end,n_train,n_test,ridge_m,n_spanned,rho1,rho2,rho3,rho4,rho5,rho_oos1,rho_oos2,rho_oos3,rho_oos4,rho_oos5,top_macro_V1,top_macro_V2,top_macro_V3,top_macro_V4,top_macro_V5
71,2020-04-22,2021-06-04,2021-07-06,252,21,0.0,2,0.6813892119262296,0.5858351400235825,0.4400522077027018,0.3833579907242775,0.2889300689173312,0.4760048666641661,-0.39328168990830503,0.0243193207054075,0.2622481368485649,-0.11299200361885382,fx_usdnok(+0.75); fx_audusd(-0.72); fx_dxy(+0.71),hy_oas(+0.42); cny_10y(-0.36); xle(-0.33),fx_usdbrl(+0.37); fx_bbdxy(+0.22); ig_oas(+0.22),epu(+0.58); mxef(+0.24); fx_eurusd(+0.23),ovx(+0.32); fx_usdbrl(-0.30); fx_usdzar(-0.23)
72,2020-05-28,2021-07-07,2021-08-04,252,21,0.0,2,0.7489394268586834,0.6182795433068695,0.46719038257922746,0.4035725397749183,0.3371183085494246,0.6783955456860372,0.3319633926560469,0.46244152217989953,0.12496502403036813,0.2223757081391199,fx_usdnok(+0.70); xle(-0.69); fx_usdcad(+0.67),fx_dxy(+0.65); fx_eurusd(-0.60); fx_bbdxy(+0.55),fx_usdbrl(+0.37); epu(-0.36); fx_usdclp(+0.33),csi300(+0.26); hscei(+0.26); fx_eurusd(-0.25),ust_2y(+0.32); move(+0.29); fx_usdcad(+0.28)
73,2020-06-30,2021-08-05,2021-09-03,252,21,0.0,2,0.7530604154103456,0.6294864035086112,0.49189319799005893,0.411524913797365,0.3439304478999803,0.7053121064519168,0.3316016066115382,-0.11882883729663356,0.20455544086842783,0.2552000396131304,xle(+0.68); fx_usdcad(-0.64); fx_usdnok(-0.60),fx_dxy(+0.68); fx_eurusd(-0.60); fx_bbdxy(+0.60),epu(+0.51); fx_usdclp(-0.32); ovx(+0.30),fx_usdbrl(+0.35); shcomp(+0.31); csi300(+0.30),fx_eurusd(+0.34); bdti(+0.27); move(+0.25)
74,2020-07-31,2021-09-07,2021-10-18,252,21,0.0,1,0.7596323649680892,0.6181674912946244,0.47691615720309904,0.4146815541287254,0.36332015415653823,0.40056317901093524,0.23492637773592387,-0.12922522149454665,0.360253151809478,0.06449686348270733,xle(+0.68); fx_usdcad(-0.68); fx_usdnok(-0.64),fx_dxy(+0.63); fx_bbdxy(+0.57); fx_eurusd(-0.56),epu(+0.46); ust_10y(+0.40); tips_10y(+0.35),csi300(+0.29); mxwo(+0.28); fx_eurusd(-0.27),fx_usdbrl(+0.32); fx_usdcad(+0.27); fx_usdclp(+0.26)
75,2020-09-01,2021-10-19,2021-11-16,252,21,0.0,1,0.7732324075841888,0.6045515636363865,0.4689465174999353,0.43141620662160096,0.37271201770428747,0.3507378595501819,0.07941195660424875,0.04108301161546876,-0.5356181637940908,0.5617836577899927,fx_usdcad(+0.68); xle(-0.68); fx_usdnok(+0.64),fx_dxy(+0.62); fx_eurusd(-0.57); fx_bbdxy(+0.57),epu(+0.34); tips_10y(+0.29); ust_10y(+0.27),hy_oas(+0.46); csi300(-0.40); shcomp(-0.37),fx_usdbrl(+0.29); fx_usdclp(+0.27); fx_usdcad(+0.25)
76,2020-10-13,2021-11-17,2021-12-16,252,21,0.0,1,0.7450669756180984,0.5810388741956611,0.4506382382118202,0.41773914415578567,0.3480996602575607,0.6141994764722455,-0.1384916266836171,-0.0716609825793184,0.4992642494435408,-0.08368002447954327,xle(+0.71); fx_usdcad(-0.68); fx_usdnok(-0.59),fx_dxy(+0.68); fx_eurusd(-0.61); fx_bbdxy(+0.61),tips_10y(+0.41); tips_5y(+0.36); mxwo(-0.32),hy_oas(+0.41); mxwo(-0.36); csi300(-0.32),fx_usdbrl(+0.28); fx_usdclp(+0.25); fx_audusd(-0.23)
77,2020-11-11,2021-12-17,2022-01-21,252,21,0.0,1,0.7422857539935956,0.5804346480363192,0.4722458927942329,0.41718219779833526,0.34513451455014227,0.6450593406650995,0.5661769276283127,0.24257619728034094,-0.0620308208806534,-0.10080158850625714,fx_usdcad(+0.72); fx_usdnok(+0.66); xle(-0.66),fx_dxy(+0.48); fx_bbdxy(+0.44); fx_eurusd(-0.42),move(+0.38); mxwo(-0.30); inflsw_5y(-0.28),tips_10y(+0.45); ust_2y(+0.41); ust_10y(+0.40),fx_usdbrl(+0.40); fx_usdclp(+0.27); be_10y(-0.27)
78,2020-12-11,2022-01-24,2022-03-01,252,21,0.0,1,0.744385720992529,0.5777234629644011,0.48190657485536015,0.36348175676728045,0.3491659698645046,-0.05584618279678566,0.35057724654108263,0.43464883716006797,0.30241983559687907,0.11063558212805244,fx_usdcad(+0.72); xle(-0.69); fx_usdnok(+0.66),fx_dxy(+0.49); fx_bbdxy(+0.41); fx_audusd(-0.41),move(+0.36); vix(+0.26); mxwo(-0.25),fx_usdbrl(+0.32); tips_10y(+0.31); tips_5y(+0.26),ust_10y(+0.46); ust_5y(+0.38); ust_2y(+0.34)
79,2021-01-14,2022-03-02,2022-04-11,252,21,0.0,1,0.7182216963565023,0.5882173149583981,0.49552083979130096,0.4287391868862692,0.3540360568031129,0.3715944814307161,0.19948898614836022,0.26923105509957634,-0.08598773988292978,-0.10430644150330434,xle(+0.70); fx_usdcad(-0.63); fx_usdnok(-0.54),fx_dxy(+0.60); fx_audusd(-0.59); fx_bbdxy(+0.55),move(+0.42); vix(+0.35); mxwo(-0.31),bdti(+0.36); xle(+0.34); move(+0.28),fx_usdbrl(+0.37); cny_10y(-0.33); ust_10y(-0.29)
80,2021-03-01,2022-04-12,2022-05-17,252,21,0.0,1,0.7303002046138527,0.5521952553905547,0.5235860938811392,0.45761130800428595,0.3544508710134267,0.4235671678889357,0.7461417166306703,0.2318919738958293,-0.08842638473695837,-0.40358243681323497,be_5y(+0.59); xle(+0.57); inflsw_5y(+0.55),fx_audusd(+0.59); fx_usdcnh(-0.58); fx_dxy(-0.58),fx_usdnok(+0.57); fx_usdcad(+0.49); xle(-0.44),ust_10y(+0.51); ust_5y(+0.42); tips_10y(+0.40),fx_usdbrl(+0.32); fx_usdzar(+0.29); bdiy(+0.28)
