horizon,commodity,stale,zero_return_frac,mse_full,mse_ar1,mse_mean,mse_zero,r2_oos_vs_ar1,r2_oos_vs_mean,r2_oos_vs_zero,cw_stat,cw_p,cw_fdr10_reject
1,Silver,False,0.0024390243902439024,0.0006598417330447505,0.0006555415022214613,0.0006566150075911622,0.0006567911922344801,-0.006559814761867733,-0.0049141816989926035,-0.004644612848555774,-0.6997421047014297,0.7579558116872054,False
1,Copper,False,0.007317073170731708,0.0003424696784418274,0.0003423648422240554,0.00034283421101834644,0.0003427860753535219,-0.00030621198453362197,0.0010632911325747507,0.0009230156486613739,0.7798447997748713,0.21774111655723438,False
1,Aluminium,False,0.0031358885017421603,0.00025209397262426704,0.00025257543504686084,0.00025197305051295515,0.0002519778346153881,0.0019062123856362634,-0.00047990096982886143,-0.00046090565488121626,1.3995685746418713,0.08082127496909286,False
1,Nickel,False,0.0006968641114982578,0.0007598976425393595,0.0007562828107213378,0.0007532887089008768,0.0007529284197493277,-0.004779735525886064,-0.00877344046232409,-0.009256155840620561,0.16955787430917857,0.4326789270814342,False
1,Zinc,False,0.003484320557491289,0.00031017234870986296,0.00031103274848309445,0.0003100337819909264,0.00030991961088198516,0.002766267466778549,-0.0004469407109337631,-0.0008154947896279463,1.8209967093841186,0.03430367853651772,False
1,Platinum,False,0.0031358885017421603,0.0005430889893362692,0.0005395775922427375,0.0005404271659423235,0.0005402172870383555,-0.0065076777538828345,-0.004925406348336381,-0.0053158282173035865,-0.2730379497621214,0.6075879781088562,False
5,Coffee,False,0.009059233449477353,0.0031781159333180617,0.003163116284254559,0.0031555747941466304,0.003154441024941047,-0.004742047941192817,-0.007143275200842458,-0.007505262640773891,-1.215019050518822,0.88782058721089,False
5,SoybeanOil,False,0.012195121951219513,0.00221995323701798,0.0022164413194716726,0.0022086155755470876,0.0022038012266677775,-0.0015844847844401766,-0.005133379297157292,-0.007329159342843727,-1.0382784109790075,0.8504297716612184,False
5,Corn,False,0.0156794425087108,0.0016446164368499755,0.0016345437336189375,0.0016302117088497054,0.0016233608836963137,-0.006162394449206188,-0.008836108783953023,-0.013093547693020513,-2.0680204847286845,0.980680951556819,False
5,Cotton,False,0.0031358885017421603,0.002019924384443418,0.0020139198622774776,0.002007821709052837,0.0020030319151658964,-0.0029815099788279564,-0.006027763987216828,-0.008433449886454891,-0.4129809414860252,0.6601897114144971,False
5,HRWWheat,False,0.01602787456445993,0.0021688220498436656,0.0021526790536869765,0.002147797808313658,0.002143120880354562,-0.007499025983014107,-0.009788743357790564,-0.011992403099936988,-0.8576405350263918,0.8044545075191599,False
5,LeanHogs,False,0.01289198606271777,0.003228335987177799,0.003204657407348717,0.003202335269532509,0.0031951280431729507,-0.007388802239760128,-0.008119299029262894,-0.010393306169937055,0.034398462764938034,0.48627970464187287,False
5,LiveCattle,False,0.015331010452961672,0.0004260490850149755,0.0004234941301805653,0.00042309343378996725,0.000425469267863658,-0.006033034822279237,-0.0069858120900914145,-0.001362770933442059,-1.8954939805297646,0.9709865057688363,False
5,Soybeans,False,0.010801393728222997,0.0010144686748844117,0.0010095981760021723,0.001011975412013732,0.0010094298327743482,-0.00482419540566692,-0.0024637583493440918,-0.004991770548542718,-1.2175393309236073,0.8883004592603871,False
5,Sugar,False,0.017421602787456445,0.0016783246305588713,0.00167042691869363,0.0016624939933239209,0.0016592581344133247,-0.004727960126156061,-0.0095222222146496,-0.011490976449115342,-0.48276932620040197,0.685370233669436,False
5,Brent,False,0.003484320557491289,0.002828121498592026,0.002804611279810645,0.002744622006812688,0.0027397991333413495,-0.00838270135709096,-0.030422947703573122,-0.032236803120293755,-0.39210473890246306,0.6525095869053134,False
