date,F1,F2,F3,F4,F5,F6
2017-01-03,1.1855186,-0.79895943,0.6725096,-0.57591194,0.19348226,-1.553092
2017-01-04,1.4293957,2.0674896,0.45398462,0.46385488,-0.35465804,-0.52165765
2017-01-05,0.72756684,-0.17920704,0.74889845,0.6301374,-0.09518346,-1.0797136
2017-01-06,-0.4311452,-0.117266834,-0.4585362,-0.16071732,0.43207926,0.6437624
2017-01-09,1.0253266,0.023901282,0.48341388,-1.08696,0.49900615,-1.7303195
2017-01-10,1.065522,0.91431075,0.36829647,-0.37151167,0.33394238,-1.048207
2017-01-11,-0.52456945,-0.32057175,0.21239202,1.2419157,-0.1820899,0.45999455
2017-01-12,0.8353088,1.5680192,0.36856675,0.39586538,-0.52727896,-0.11023096
2017-01-13,0.5666235,1.0001711,-0.23281273,-0.5731177,0.6056985,-0.20486708
2017-01-17,0.06990553,-0.8856203,0.5930796,0.65443844,-1.3090949,-0.81082857
2017-01-18,0.7427934,0.49950507,-0.05687165,-1.14048,0.69552106,-0.80720186
2017-01-19,-1.3743861,-0.4196607,-0.59724826,-0.20187019,0.002789488,0.45862386
2017-01-20,0.11762593,0.24072301,0.18863459,1.0806495,0.17581473,0.1837412
2017-01-23,0.81162715,0.00958277,0.30420712,0.13507344,0.022701226,-0.7004112
2017-01-24,0.5028649,0.53761655,-0.15356481,0.23866521,1.0869358,0.17294818
2017-01-25,-1.0831221,-0.43939018,-0.605746,-0.81622714,-0.38569862,0.03830384
2017-02-06,1.1805964,-0.09671077,0.62454146,0.639776,1.1083329,-1.4294188
2017-02-07,-0.070269145,-0.32497954,0.13180715,-0.51669735,-0.33081827,-0.8188914
2017-02-08,0.6453699,1.4112542,0.00685916,0.3221822,0.031394497,0.09848363
2017-02-09,-0.3025629,-0.37614602,0.08366221,0.5536204,-0.5830774,0.17833938
2017-02-10,0.93403786,2.366682,-0.030664442,0.045168016,0.8216306,0.15851998
2017-02-13,-0.24515171,0.2757487,-0.40971652,-1.2363567,0.38861793,-0.36821824
2017-02-14,-0.27612975,-0.66074014,0.04130628,0.62997776,0.07851462,0.21227722
2017-02-15,0.7145737,0.23689255,0.36594155,-0.18084939,-0.2826258,-0.5403671
2017-02-16,-0.24919729,-1.2696439,-0.039634958,0.12588924,1.0828153,-0.3085491
2017-02-17,-0.90630245,-1.3146269,-0.04845643,0.2191603,0.421098,0.16822597
2017-02-21,0.2299297,0.3591863,0.11566039,0.6480508,0.6809273,0.20653996
2017-02-22,0.28807825,-0.26329264,-0.22984907,-0.63368356,-0.51535857,0.03372579
2017-02-23,-0.61535907,-1.6770319,0.29692662,1.0134381,0.0783996,-0.15619415
2017-02-24,0.5842648,0.643503,0.09202159,-0.098704144,1.3387957,-0.86639017
2017-02-27,-0.6408976,-0.35425952,-0.23442233,0.49203444,1.3509706,0.030862188
2017-02-28,0.6716723,1.0090479,0.33220905,-0.52086127,-1.2953609,-0.44999504
2017-03-01,0.20572288,2.24895,0.088737875,0.17098337,-0.8334256,0.2463364
2017-03-02,-1.3989793,-1.462175,-0.8968173,-1.8400272,-0.7540369,0.43928224
2017-03-03,0.13709798,0.38629755,-0.22718975,0.1390325,-0.52843785,0.41101214
2017-03-06,-0.7762726,-0.36144942,-0.43519235,-0.05213138,-0.49028036,0.38929737
2017-03-07,-1.471829,-0.9811616,-0.7319473,-0.5490883,0.14674701,0.7426004
2017-03-08,-0.3760579,-0.9560609,-0.46938074,-1.7131747,0.055306252,-0.6289715
2017-03-09,-0.65694165,-1.1201917,-0.71389174,-1.4326409,0.26502,-0.16765916
2017-03-10,-0.08634593,-0.4130668,-0.18058898,-0.33485198,0.45922667,-0.3677969
2017-03-13,-0.07820576,0.09064815,-0.34793624,0.06587428,1.5583777,-0.27525246
2017-03-14,0.07822008,0.12885323,-0.19431342,-0.7923452,0.26938227,-0.2333587
2017-03-15,0.891703,1.4883357,-0.038875863,-0.07100228,-1.0808392,0.21182352
2017-03-16,1.0635087,-0.23474085,0.9195829,0.9401932,0.49310562,-1.3353691
2017-03-17,0.47709605,0.63425976,0.068311386,0.13616617,0.30756223,-0.21888928
2017-03-20,-0.39666337,-0.785414,0.040540487,0.3675492,0.15075304,-0.19634786
2017-03-21,-0.18021841,-1.0810572,0.06998389,-0.05437387,0.24770528,-0.62012064
2017-03-22,0.23456357,-0.27501363,-0.26876846,0.027150553,0.5669189,0.18718082
2017-03-23,-0.27973694,-0.38428098,-0.13177665,0.062685214,0.30098936,-0.07465469
2017-03-24,-0.16399509,-0.746368,-0.15061344,0.21186098,0.76478803,0.16569018
2017-03-27,-0.1150709,-1.1018292,0.30453843,0.4553745,0.025856536,-0.32039505
2017-03-28,0.1861143,1.373037,-0.07504738,0.4259716,0.6428126,0.33305636
2017-03-29,-0.45315713,0.41803125,-0.2625934,0.6708814,0.024580691,0.7013576
2017-03-30,-0.6045078,0.3894507,-0.57693654,0.13945732,0.68147403,0.6065248
2017-03-31,-0.6186523,-0.89326465,0.15743306,0.3887823,-0.9623236,0.009306076
2017-04-05,-0.42159936,0.54614073,-0.36632726,0.61882687,0.8493847,0.92509925
2017-04-06,-0.5149283,-1.2314335,0.21368046,0.6754335,-0.11336577,0.027146976
2017-04-07,0.17165369,-0.43509072,0.23891604,0.62801933,-0.4187987,0.26628578
2017-04-10,-0.7523715,-0.3922349,-0.45279762,-0.05025639,-1.457406,0.6727969
2017-04-11,0.6333933,-1.4071823,0.86256737,1.096832,-0.25430942,-0.9258858
2017-04-12,-0.053914532,-0.4746498,-0.18972357,-0.1802039,-0.36416912,-0.18601695
2017-04-13,0.53679264,0.31368655,0.33377588,0.6052958,0.36390504,-0.676068
2017-04-18,-0.725317,-1.7952759,-0.016706739,-0.011677285,-0.28982824,-0.6798975
2017-04-19,-0.037545275,0.35195684,-0.47023782,-1.2955317,0.6443357,-0.42337108
2017-04-20,0.54726267,0.7922088,-0.525736,-0.21295002,1.5491432,0.18265037
2017-04-21,-0.0003688422,-0.8673707,0.072500385,-0.90064055,-0.4923227,-0.42699626
2017-04-24,-0.18809955,0.86337686,-0.5129035,-0.8838693,0.013407892,-0.0706814
2017-04-25,0.043396637,1.0021265,-0.27992302,-0.30001616,-0.43132186,0.30991423
2017-04-26,-0.82607275,-0.15049571,-0.48915368,-0.38515422,0.41415203,0.25828952
2017-04-27,-0.114177525,-0.87720364,0.26371893,-0.469726,-0.6901559,-0.8630192
2017-04-28,0.7198345,-0.09599433,0.32629308,0.53207326,-0.5167125,-0.010562534
2017-05-02,0.5420283,1.4248152,-0.1329827,-1.6437299,-1.3149084,-0.5018533
2017-05-03,-1.1666678,-1.0430723,-0.4002509,-0.041485414,-1.3831711,0.71780926
2017-05-04,-0.7786609,-0.98586994,-0.88823533,-1.9266292,0.7109883,-0.37108076
2017-05-05,0.06232693,0.8515298,-0.16126755,0.2942477,-0.36958915,0.50026697
2017-05-08,-0.15755814,-1.1520673,-0.009263336,0.07627905,0.30120718,0.1642505
2017-05-09,-0.43570134,0.6769594,-0.61100966,-1.0415648,-0.25428918,0.12272989
2017-05-10,-0.13822487,-0.08102765,0.34987423,1.3823335,-0.58450294,0.42578247
2017-05-11,0.13877396,0.41053095,-0.13232188,0.6204792,0.32238144,0.029959885
2017-05-12,0.10825545,0.2840804,0.04199973,0.7260545,-0.17966871,-0.20292504
2017-05-15,0.19801205,1.4074169,0.11498922,0.79401815,-0.5400791,-0.17505084
2017-05-16,0.0351045,-0.55298907,0.2595649,0.4032294,0.7517797,-0.3394819
2017-05-17,0.53052133,-0.23944199,0.8793012,1.2819424,-0.006674376,-0.6408309
2017-05-18,-1.1117163,-0.88352734,-0.6845871,-0.29390272,0.9128616,0.8618375
2017-05-19,0.99957204,1.6777169,0.5379497,1.2075974,-1.0072236,0.18153235
2017-05-22,0.18644875,-0.30635035,0.57401913,1.128451,0.4183304,-0.36538872
2017-05-23,-0.66750747,-0.11649925,-0.6544847,-0.2370425,1.4096994,0.43040055
2017-05-24,-0.45018885,-0.28389332,-0.3464067,-0.2844329,-0.25071105,0.02521682
2017-05-25,0.56288195,-0.58194935,0.15856354,-1.2932092,0.60719675,-1.3196404
2017-05-26,-0.47643417,-0.551066,0.2576271,0.6954103,0.26111394,-0.511455
2017-05-31,-0.2131736,-1.2833745,-0.0040372913,-1.3472579,0.39521796,-1.1222851
2017-06-01,-0.7302045,-0.33317813,-0.62883866,-0.26637575,-0.1440276,0.6452743
2017-06-02,0.3417451,-0.7835181,0.44616613,0.021287872,0.324888,-1.1492951
2017-06-05,0.15128395,-1.1257374,0.35113692,-0.18000509,-0.663746,-0.6647173
2017-06-06,0.08420339,-0.1886884,0.408915,0.74497294,-0.75093883,-0.27202946
2017-06-07,0.2897719,0.12556747,0.03178681,-1.7055625,-0.73577046,-1.0942184
2017-06-08,0.36455774,1.1822678,-0.18516098,-0.37725347,-0.65819573,0.36281124
2017-06-09,0.23680858,1.2847407,-0.30007407,0.014983547,0.5379095,0.4524829
2017-06-12,-1.1133677,-1.4025658,-0.5190666,-0.37778103,0.34065178,0.31522813
2017-06-13,-0.57368773,0.45199868,-0.3487119,-0.266665,-0.86847913,0.61592585
2017-06-14,0.67937547,-0.36681455,0.35834253,-1.1801885,0.87329197,-1.6950637
2017-06-15,-0.41667932,0.7192166,-0.7045895,-1.286577,-1.1853019,0.86476916
2017-06-16,0.21502258,0.8096786,-0.025166905,0.21623997,-0.38236582,0.16876164
2017-06-19,-0.04847509,0.5627193,-0.516679,-0.61818045,1.2971919,0.1310141
2017-06-20,-0.38804188,-1.014357,-0.40711945,-1.0438564,0.38599747,-0.36609015
2017-06-21,0.26960537,0.58154607,-0.45412144,-1.0544786,1.6050725,-0.4490852
2017-06-22,-0.22516412,0.046568766,-0.4961888,0.07295592,1.5218674,0.46398917
2017-06-23,0.44113743,-0.16961613,0.46457615,0.92462,0.004254879,-0.5643056
2017-06-26,-0.7616882,0.09614211,-0.5331638,0.19234906,-0.21597973,0.4337658
2017-06-27,0.3698237,1.5319016,-0.021649262,0.7500531,-0.040234398,0.5601506
