date,F1,F2,F3,F4,F5,F6
2022-08-02,-0.04809682,-0.15169807,-0.37468842,-0.7519012,0.07434641,0.027170904
2022-08-03,-0.14005813,-0.15891723,-0.29737458,-0.8869125,-0.055006262,0.06733577
2022-08-04,0.24599078,-0.12682666,0.59515315,0.43741813,0.10411038,-0.43209553
2022-08-05,0.008046937,0.07906367,0.09423249,0.13685738,-0.10828241,0.05597861
2022-08-08,0.05331463,-0.07281056,0.22916205,0.41728488,0.17504863,-0.18483655
2022-08-09,0.052201487,0.27258286,0.15143737,1.2703241,-0.1040604,0.06368841
2022-08-10,0.11583731,0.1928082,0.32778257,1.2997957,-0.07952154,0.008585082
2022-08-11,0.08302967,0.25655413,0.29233778,1.255893,-0.20116915,0.06252873
2022-08-12,-0.11942768,-0.10542624,-0.11430705,-0.18804252,-0.021701807,-0.092191346
2022-08-15,-0.06284207,-0.3218188,-0.33461413,-1.8581102,-0.0588393,0.016451832
2022-08-16,0.008246352,-0.17356192,-0.23231608,-0.57563996,0.051749133,0.0077287657
2022-08-17,-0.20165779,0.179152,-0.33092144,-0.13063845,-0.0766707,0.28090653
2022-08-18,-0.1167682,0.14168845,-0.25394517,0.16625766,-0.03034508,0.15967217
2022-08-19,-0.036957726,0.20005302,0.11204448,0.45541286,-0.22784624,0.1391933
2022-08-22,-0.10515305,0.13919921,0.009616705,0.102340005,-0.17782618,0.123389535
2022-08-23,0.005912294,0.2135973,0.34836698,1.1624641,-0.09095318,-0.0156082185
2022-08-24,-0.06911938,0.04933296,0.019270012,0.39802614,-0.14300147,0.05320241
2022-08-25,0.029815247,-0.15901333,-0.04864804,0.034492604,0.18483873,-0.12091021
2022-08-26,-0.07201678,0.32684207,0.08634494,0.8168245,-0.25545198,0.2028005
2022-08-30,-0.16737568,-0.19352055,-0.39983678,-2.1071892,-0.031926837,0.0419004
2022-08-31,0.00048544403,-0.023886502,-0.107514895,-0.90609753,-0.059053324,0.033978965
2022-09-01,-0.1880038,-0.4266038,-0.65900207,-2.5321589,0.1594531,0.016564371
2022-09-02,0.013062092,0.12720098,0.26089862,0.64908767,-0.046123195,-0.0059551178
2022-09-06,0.06758758,-0.05660037,0.024794063,-0.0035625875,0.052501135,-0.1012444
2022-09-07,0.05927663,-0.41313338,0.05850266,-0.9264417,0.1478859,-0.24879067
2022-09-08,0.07607187,0.051267155,0.15824632,0.6593994,0.023967333,-0.02111724
2022-09-09,0.119796485,0.28609487,0.5087407,1.7316527,-0.1210849,-0.025919015
2022-09-13,0.14151451,0.14535266,0.32495758,0.70458615,-0.020053009,-0.051699422
2022-09-14,0.078957446,-0.14872706,-0.14291494,-0.8800955,0.0046664653,-0.031734563
2022-09-15,-0.1447345,-0.34381324,-0.5108648,-1.8173696,0.3048199,0.020493811
2022-09-16,0.026874673,0.043659072,0.10796961,0.14034681,-0.027215358,-0.030619903
2022-09-19,-0.039986055,-0.0023934748,-0.16441503,0.216222,0.017933676,0.0804294
2022-09-20,0.061693974,0.082202084,0.26091805,0.15262876,-0.18567677,0.061603025
2022-09-21,-0.024980132,-0.11575855,-0.15478297,-0.5032966,0.009188335,-0.056529585
2022-09-22,-0.023440372,0.10392902,0.10640656,0.61923265,-0.03255216,0.01880804
2022-09-23,-0.19142099,-0.36150345,-0.66651624,-2.6133246,0.020887101,0.049420334
2022-09-26,-0.12674685,-0.19623621,-0.49342972,-1.7378916,0.00739008,0.12336925
2022-09-27,-0.077158436,0.14821926,-0.14182699,0.5002609,-0.1481822,0.20009607
2022-09-28,0.14787935,0.12803529,0.42550305,1.7228277,-0.020890778,-0.093042366
2022-09-29,0.0588186,-0.007916386,0.19318505,0.30517066,0.107961416,-0.054895796
2022-10-10,0.20659955,0.68636733,0.44086784,2.685891,-0.1247641,0.12971818
2022-10-11,-0.012032965,-0.20222573,-0.1107978,-0.7284403,0.08827049,-0.07081526
2022-10-12,-0.093971,0.066378176,-0.22194202,-0.48702565,0.05207409,0.1478388
2022-10-13,0.05492939,0.1359137,0.236495,0.5287112,-0.07672066,0.06233334
2022-10-14,-0.10334492,-0.1734857,-0.43438658,-1.493207,0.029761903,0.065073766
2022-10-17,0.08466472,-0.2616876,0.012114932,-0.26461157,0.054776974,-0.17674312
2022-10-18,-0.0749967,-0.1082396,-0.18153898,-0.8265283,0.038511995,-0.024457505
2022-10-19,-0.07409318,0.18057881,-0.2514013,-0.370612,-0.028021542,0.2421128
2022-10-20,0.18600856,-0.046852715,0.3147343,0.62611175,0.08864961,-0.20824812
2022-10-21,0.040592447,-0.098137446,0.2650203,0.6455476,0.10091043,-0.19807528
2022-10-24,-0.06087183,0.0024976735,-0.21966897,-0.113384224,0.019637158,0.10673568
2022-10-25,-0.043225314,0.16004625,-0.034651175,0.5008424,-0.097264424,0.13542415
2022-10-26,0.18070883,0.1739873,0.43029916,1.4980308,0.02615944,-0.08817316
2022-10-27,-0.020012598,0.03425199,-0.18612275,-0.089768335,-0.02600474,0.1170594
2022-10-28,-0.21799149,-0.004784823,-0.523075,-1.1978867,-0.20707892,0.291341
2022-10-31,-0.017590677,-0.10087722,0.13393302,-0.8736677,-0.16036797,-0.05870116
2022-11-01,0.1935081,-0.118801765,0.49822006,0.113715835,0.1854546,-0.39939463
2022-11-02,-0.059373464,0.140073,-0.1268053,0.7165139,-0.0433338,0.075577244
2022-11-03,-0.15812162,0.041704033,-0.3349978,-0.27811298,-0.119921416,0.19135472
2022-11-04,0.35835814,0.1947422,0.7601223,2.488475,0.14897098,-0.21838267
2022-11-07,0.023583569,-0.19574857,-0.114662424,-0.6358943,0.086508654,-0.11664139
2022-11-08,0.22566219,-0.26122463,0.32940742,0.14078365,0.24469225,-0.36212987
2022-11-09,-0.018255407,-0.20011264,-0.096789084,-1.1567693,0.025756888,-0.07101488
2022-11-10,0.211185,-0.1732091,0.32859555,0.8017088,0.13213013,-0.29657993
2022-11-11,0.13515677,0.21790452,0.41524735,1.3209373,0.05298156,-0.04571883
2022-11-14,0.090530425,-0.1612399,0.07781298,-0.34272072,0.16345848,-0.16707662
2022-11-15,0.0035171157,0.28478488,0.02107428,0.31731027,-0.2136874,0.1672217
2022-11-16,-0.14332044,-0.2683656,-0.40105844,-1.1718371,0.019891566,0.008886246
2022-11-17,-0.17511843,-0.26594624,-0.5214796,-2.0308676,0.032015614,0.057393767
2022-11-18,0.019473769,-0.018694911,0.005274392,-0.24533725,0.0477006,-0.0055643106
2022-11-21,-0.112532966,-0.07194606,-0.3493183,-0.91374564,-0.07022403,0.19492404
2022-11-22,0.06900096,0.1432005,0.12596245,1.0402914,0.031231562,0.0032612726
2022-11-23,0.026958108,-0.15619393,0.099340945,-0.5356261,0.042291615,-0.16081144
2022-11-25,-0.048705485,-0.2605131,-0.041186035,-1.0030468,0.17850648,-0.21851254
2022-11-28,0.04110099,0.15316446,-0.05680207,-0.23629776,-0.0029246688,0.081045985
2022-11-29,0.050093304,0.08201572,0.15226217,0.8941631,-0.0036654663,-0.016982246
2022-11-30,0.22832063,0.24018908,0.348558,1.7013944,0.12061564,-0.07022277
2022-12-01,0.23340027,-0.39595047,0.05980851,-0.061628025,0.27562195,-0.3479052
2022-12-02,0.06829625,-0.12957737,-0.04948711,-0.5802214,0.20970428,-0.08701735
2022-12-05,-0.04251487,-0.14100853,-0.42511353,-1.510799,0.07604575,0.0043800357
2022-12-06,0.042292114,-0.22985351,-0.047665566,-1.0862987,0.15586126,-0.15955369
2022-12-07,0.16113552,-0.19523281,0.26341432,-0.32379976,0.061911788,-0.26793242
2022-12-08,0.014606075,-0.0906732,0.11520514,0.1304082,0.0048199794,-0.03670911
2022-12-09,0.0332029,-0.18800765,-0.058615066,0.008097419,0.111219116,-0.13685712
2022-12-12,-0.15671046,0.23877987,-0.105666585,0.20880112,-0.24576788,0.28408375
2022-12-13,0.14227143,0.20291105,0.43928492,1.8660779,0.007287936,-0.11507409
2022-12-14,-0.039314143,0.21972142,-0.047431186,0.8112056,-0.039269548,0.17496897
2022-12-15,-0.14234279,-0.05357033,-0.44685605,-1.3529702,-0.18321168,0.19572741
2022-12-16,-0.0847197,-0.22378185,-0.15410538,-1.1163564,0.16144006,-0.1549371
2022-12-19,-0.042655487,0.00226015,-0.09819347,-0.1731322,0.01285674,-0.003381123
2022-12-20,0.23057199,0.06596993,0.53672224,1.3274164,0.12926657,-0.30270267
2022-12-21,-0.09851931,0.27831957,0.07342389,0.8451086,-0.14116478,0.12504624
2022-12-22,-0.12452787,0.010587898,-0.33900598,-0.9303486,-0.07230731,0.20053601
2022-12-23,0.14766727,0.15577744,0.3290631,1.4054153,-0.057826046,-0.059970252
2022-12-28,-0.020133737,0.031666946,0.099737905,0.39491042,0.08558187,-0.022211386
2022-12-29,0.10737372,-0.19685689,0.18165872,0.058457818,0.2021996,-0.24183892
2022-12-30,0.019585868,0.076405466,-0.09104495,0.22068484,-0.11737165,0.04814542
2023-01-03,0.06850996,-0.4288981,-0.09599821,-1.4573255,0.2400961,-0.32621628
2023-01-04,-0.01574676,-0.4399935,-0.2652525,-1.8385024,0.18543057,-0.14532915
2023-01-05,-0.10425851,0.09686887,-0.21931145,-0.20516336,-0.07169919,0.11862108
2023-01-06,0.15275474,-0.033608112,0.4070477,1.0478417,0.090961576,-0.26595643
2023-01-09,0.10326544,0.17056634,0.24342296,1.0963256,0.09546573,-0.0021274271
2023-01-10,-0.042666763,0.040932395,-0.06608979,0.08231682,0.022973143,0.08184957
2023-01-11,0.05220834,0.16654527,0.06512523,0.7580831,-0.110227354,0.12725958
2023-01-12,0.07209495,0.0740572,0.3337809,0.8272292,0.0137032755,-0.08802503
2023-01-13,0.08212748,0.06963176,0.25264022,0.90143085,0.06482332,-0.120783
2023-01-17,-0.14183742,0.12795615,-0.049261358,0.070269905,-0.11897564,0.15013371
2023-01-18,0.02115935,0.04053292,-0.057141814,0.31902513,0.05853087,-0.035109613
2023-01-30,0.24197419,-0.3441982,0.3584983,-0.45383537,0.13060199,-0.20694393
2023-01-31,0.045049164,0.079441234,0.21110493,0.88258684,-0.066655636,0.03559519
2023-02-01,-0.037054684,-0.29948166,-0.25617492,-1.8394676,0.07414055,-0.13553907
2023-02-02,0.09346094,-0.06287563,0.065265834,-0.10404016,0.08351994,-0.082825445
2023-02-03,-0.1815838,-0.09840813,-0.57108796,-2.121752,-0.10362628,0.19128017
2023-02-06,-0.1531937,0.0034581143,-0.26521808,-0.7196555,-0.013397937,0.12016366
2023-02-07,0.032235585,0.33167884,0.13642594,1.4115744,-0.15162508,0.14149612
2023-02-08,0.030681968,-0.039909698,0.08284488,-0.034930345,-0.034154523,-0.09745246
2023-02-09,0.0064230165,-0.096452996,-0.15800427,-0.47734067,-0.0027592515,0.051960852
2023-02-10,-0.12188859,0.18219241,-0.054411672,-0.053724382,-0.2514154,0.16281499
2023-02-13,-0.01374831,0.025118496,-0.09171049,0.22628878,-0.058595415,0.0436571
2023-02-14,-0.09995532,-0.057805795,-0.09705718,-0.03845616,-0.072754435,0.07574346
2023-02-15,-0.23410636,0.013502297,-0.48426396,-1.122481,0.0856979,0.1417227
2023-02-16,0.07660709,-0.12354474,0.27880833,0.21461701,0.05864977,-0.15378828
2023-02-17,0.029983744,-0.23778434,0.016844168,-0.85337895,0.09364001,-0.17504938
2023-02-21,0.15792288,0.1168259,0.39753467,1.3679738,0.12916043,-0.14770633
2023-02-22,-0.109568916,-0.21136336,-0.25522947,-0.7046257,0.10599724,0.061041914
2023-02-23,-0.14495678,0.011348527,-0.47831506,-0.75425756,-0.058578722,0.2059674
2023-02-24,-0.23866695,0.0069128447,-0.56392187,-0.6895208,-0.14232232,0.23540683
2023-02-27,0.1427797,-0.16555165,0.11724765,0.5703358,0.034110248,-0.07004139
2023-02-28,0.052283503,-0.096502505,0.033343203,0.3285748,0.14049827,-0.07367961
2023-03-01,0.08089711,0.19563411,0.101492144,0.9573513,-0.060750138,0.027397702
2023-03-02,-0.062473614,0.043700784,-0.1875522,-0.45361716,-0.10572055,0.12104368
2023-03-03,0.08082553,0.040191136,0.17050323,0.77817667,-0.03158587,-0.079368494
2023-03-06,-0.019470599,-0.099929914,-0.13082504,-0.33072865,0.06597895,-0.042710096
2023-03-07,-0.17296411,-0.12561381,-0.54923964,-1.9368668,-0.10351981,0.18020332
2023-03-08,0.022259176,-0.06965415,0.003220478,-0.34873337,0.106255695,-0.084156424
2023-03-09,0.0188319,-0.33153173,-0.20379262,-0.8483398,0.16230994,-0.1602089
2023-03-10,0.0052947546,-0.0449863,0.19213271,0.33031005,0.07598952,-0.1239102
2023-03-13,0.22291657,-0.38487938,0.4502035,0.5789762,0.23670065,-0.49304062
2023-03-14,-0.0355602,-0.1603059,-0.018055517,-0.74618554,0.060210686,-0.08497307
2023-03-15,-0.012140086,-0.43417904,-0.13888757,-2.0244968,0.05445454,-0.20566788
2023-03-16,0.01164055,0.16985565,0.1449446,0.6594907,-0.15543291,0.08473701
2023-03-17,0.12401797,-0.21864845,0.32333505,0.34653646,0.21788831,-0.3443686
2023-03-20,0.042143114,-0.055161178,0.1396487,0.26380256,0.077014826,-0.11671486
2023-03-21,-0.13106136,0.13614728,-0.35311493,-0.27901873,-0.12352997,0.26018506
2023-03-22,0.06514144,0.037426583,0.09707474,0.42619258,0.1376099,-0.10224178
2023-03-23,0.11233309,-0.26754156,0.13910778,-0.109267324,0.23223478,-0.30754876
2023-03-24,-0.005578877,0.09325535,0.20309466,0.003825926,-0.06422606,-0.016310437
2023-03-27,-0.019814547,0.39614904,0.07663112,0.98766065,-0.15718614,0.18479401
2023-03-28,0.05596936,0.111760475,0.24301979,0.67635417,-0.001218097,-0.12725726
