date,F1,F2,F3,F4
2018-03-27,-0.55005336,-0.009784783,-0.3414062,-0.012185265
2018-03-28,-0.6398414,-0.5062563,-0.5885968,0.20726605
2018-03-29,0.70731795,0.7997037,-1.2751094,-0.78341466
2018-04-03,1.5390164,0.026053453,-0.5515106,-0.318894
2018-04-04,-0.7288509,-1.1951587,0.3468147,-0.03961156
2018-04-09,0.86027753,1.8595368,-0.8023743,0.29929134
2018-04-10,-1.1095104,0.9832803,0.45416248,0.2228475
2018-04-11,-0.61550534,0.23399039,0.7629929,-0.0015757316
2018-04-12,-0.23208745,-0.20927799,-0.8096346,-0.39842734
2018-04-13,-0.1134512,-0.4837989,0.6310436,-0.37205863
2018-04-16,-0.20581236,0.16001938,0.2376518,1.4039437
2018-04-17,0.009293317,0.021390699,-0.08419839,0.16642909
2018-04-18,-0.57654315,1.6940136,0.3753724,1.2811528
2018-04-19,0.06948563,-0.6015204,-0.2488386,-1.1582916
2018-04-20,-0.61069816,-0.4432955,-0.032120183,-0.06870013
2018-04-23,-0.52878875,-1.4909607,-0.77031773,-1.3486314
2018-04-24,0.8635113,-0.23796637,-0.09626185,-0.64666945
2018-04-25,-0.2834266,0.20563821,-1.681601,0.020808958
2018-04-26,-0.15990092,0.098662876,0.050985128,-0.50820225
2018-04-27,0.80617696,-0.044200692,-0.7020808,-0.9160662
2018-05-02,0.6760698,-0.48303023,-0.9068261,-1.1169538
2018-05-03,0.89744544,-0.0039812196,-0.43161738,-0.94907147
2018-05-04,-1.0980713,0.5242294,0.6971377,0.7317341
2018-05-08,-0.6251725,-0.8444274,0.6494574,-0.009115998
2018-05-09,-0.99036384,0.18708812,0.58989805,-0.60207623
2018-05-10,0.11604419,0.15345219,0.5106701,-0.19111945
2018-05-11,-0.45946705,-0.64112455,0.35481068,0.02748372
2018-05-14,-0.21159415,-0.12024149,-0.27257064,-0.46783093
2018-05-15,-0.34847507,0.45087737,-1.8317788,-0.19065607
2018-05-16,0.021055056,-0.24641721,0.44271293,-0.5907823
2018-05-17,-0.27823192,0.33693168,-0.06925689,0.06839017
2018-05-18,0.92222416,0.3774731,-1.2510428,-0.48157728
2018-05-21,0.43671662,0.9139593,-0.11117343,-0.40745172
2018-05-22,0.3737908,0.31138277,-0.35047662,-0.58536166
2018-05-23,0.37776086,0.037059356,-1.1817344,-0.6393435
2018-05-24,0.46676174,0.260301,0.71623844,0.4943248
2018-05-25,0.8289402,-0.11010409,-1.3754735,0.4021535
2018-05-29,0.7317299,-0.3731262,0.06536528,-0.36152032
2018-05-30,-0.53499067,0.11187664,1.212337,-0.52959335
2018-05-31,0.20235913,-0.09874448,-0.100352265,-0.058169425
2018-06-01,-0.3307086,0.049581833,-0.34345448,0.9346876
2018-06-04,-0.9982301,-0.88642186,0.8441784,0.9486952
2018-06-05,0.3633967,0.5004316,-0.13610093,0.052216865
2018-06-06,0.661567,0.3045448,0.14041005,-0.035379015
2018-06-07,-0.9314615,-0.13451809,0.2831087,-0.34334967
2018-06-08,0.08693372,0.23400721,-0.033020258,-0.015927523
2018-06-11,-0.37101293,-0.5923081,0.6999796,-0.06456183
2018-06-12,0.37707657,0.3460826,-1.1992593,-0.32573012
2018-06-13,-0.77412486,-0.3732169,0.79280704,0.1600953
2018-06-14,-0.057469003,-1.0314347,1.0443101,-0.1947816
2018-06-15,-0.55270416,-2.017309,-1.4447517,0.0287825
2018-06-19,-1.0864673,-2.0025053,0.86704767,-0.7211495
2018-06-20,0.28635147,0.41351196,-0.5680377,-0.18212669
2018-06-21,0.35112363,-0.49438393,-0.76437384,-0.068853796
2018-06-22,-0.38840556,0.7553418,0.29539475,-0.8005003
2018-06-25,-0.32375562,-1.5690986,0.6356992,-0.5613728
2018-06-26,-0.71993923,-0.25608125,0.34152734,-0.7481254
2018-06-27,-0.7294717,0.33253354,-0.28538242,-0.5366924
2018-06-28,-0.52333075,-0.78909844,0.19176999,-0.3964727
2018-06-29,0.0707307,0.53776544,-0.45252544,-0.68869287
2018-07-02,-1.1536998,-1.7656615,-0.023171008,0.38697124
2018-07-03,1.1439763,-0.16559258,0.037526093,-0.96437466
2018-07-05,0.513809,-0.58633727,-0.58127445,-1.2276837
2018-07-06,1.07784,1.1694038,-1.569759,-0.4232003
2018-07-09,-0.7121922,-0.3230369,1.0598147,0.09055611
2018-07-10,-0.02778384,-0.7383154,0.13546473,-1.2069999
2018-07-11,-0.085934944,-2.4035873,-0.15068562,0.38719904
2018-07-12,0.093902394,0.8772214,-0.41485682,0.36066526
2018-07-13,-0.8284834,-0.98993444,0.24211478,-0.31237373
2018-07-16,1.3747716,0.1429559,-1.8069397,0.12315266
2018-07-17,0.08066894,-0.49040562,-0.90655124,-1.1847543
2018-07-18,-0.5856199,0.5862195,-0.1972044,0.48828468
2018-07-19,-0.06855057,-0.56309795,-1.1519252,-1.0080733
2018-07-20,0.6405223,1.4011824,0.14949124,-0.048833627
2018-07-23,0.35148528,-0.26362574,-0.22716793,-0.5208822
2018-07-24,0.14965425,0.65077835,0.4197207,-0.040110476
2018-07-25,1.1030514,0.7030121,-1.0443088,-0.9312703
2018-07-26,-0.1390378,-0.38235372,-0.04191516,-0.7730376
2018-07-27,-0.0924242,0.2630906,-0.66064864,0.3222469
