date,F1,F2,F3,F4,F5,F6,F7,F8
2016-08-23,0.2182789,0.19420324,-0.40498132,0.39069045,0.5615302,-0.35467342,0.45683292,-0.04209336
2016-08-24,-0.47445574,-0.3843993,-0.015203971,-0.35629806,-1.1205775,0.0031555227,0.41588768,-1.7818534
2016-08-25,0.1182835,0.48639193,-0.20064902,0.80538297,0.5912266,-0.23867488,0.3966603,-0.6773008
2016-08-26,-0.20116149,1.1584913,0.498168,0.5757754,0.6763998,-0.44988066,0.3907464,-0.44528306
2016-08-30,-0.35360178,1.5766095,0.13997743,1.1557863,-0.17450789,0.42480245,-0.38815057,-1.8665696
2016-08-31,-0.04844911,0.23115745,0.43619427,-0.007881365,-0.86949056,1.1005417,-1.0621774,-0.7322229
2016-09-01,-0.48509344,0.025782658,1.7332537,-0.8634883,-0.56911904,0.7696953,-0.7580973,0.48185396
2016-09-02,0.52763563,-0.74943316,0.1069827,-0.93296117,0.92042196,-0.4913517,0.6994601,1.0600483
2016-09-06,0.81087524,0.46504968,0.98127276,-1.3219856,1.5804433,-0.01835629,-0.1739607,0.8697044
2016-09-07,-0.17884594,-0.87552756,-0.82078826,0.49449188,-0.61694163,-0.311462,0.15660286,0.64156145
2016-09-08,-0.10977145,-0.83337754,-1.0107311,0.26173735,0.0577543,-1.3783387,1.2013015,0.52598137
2016-09-09,-0.53128004,-0.18663435,0.3755519,-0.44257256,-1.277705,1.0395745,-0.71941096,-0.7333191
2016-09-12,-0.37618247,-0.50521415,-0.43054232,0.42995363,-0.6982271,-0.30948082,0.52011895,-0.9048637
2016-09-13,0.05440287,1.0213118,0.4456107,0.23466402,0.33900937,0.31121415,0.008175676,-1.5508636
2016-09-14,-0.013234166,0.38499328,0.41641444,0.08122093,-0.17211321,1.1330496,-0.9912136,0.5895268
2016-09-19,-0.28606704,-2.0485394,-0.30458912,0.11654408,-0.90484184,0.018939367,0.010067885,1.4727677
2016-09-20,-0.4449475,-0.25154126,0.13020866,0.107992284,-0.61849266,0.48992318,-0.52332425,1.3788781
2016-09-21,0.81471866,0.045940425,-0.06996457,-0.5527284,1.4815831,-0.63510543,0.5108748,0.30063272
2016-09-22,0.5143868,0.71160567,-0.15066397,0.48039332,1.254924,-0.2460889,-0.070714414,1.1785778
2016-09-23,-0.038391665,0.47465748,0.45119128,0.033343818,-0.3559399,0.86509395,-0.55177873,-1.3642836
2016-09-26,-0.061765507,0.11961427,-0.5406156,1.0997951,0.49745563,-0.7665065,0.63418555,-0.1792708
2016-09-27,-0.4972051,-0.7291115,0.4743161,-0.30173388,-1.0483243,0.8236627,-0.16355976,-0.58724046
2016-09-28,0.699232,-0.56955546,-1.2616782,0.7523415,0.6407998,-0.945288,0.6614145,0.20182802
2016-09-29,0.21886538,0.30429396,-0.03392578,-0.18846795,0.77356434,-0.88265854,0.8820222,0.15695874
2016-09-30,-0.28280264,-0.1849493,0.113641754,-0.050515607,0.07101346,-0.2396153,0.47583282,0.3342055
2016-10-10,-1.1133838,-0.952405,-1.1739057,1.3659528,-1.0013213,-1.7872537,1.1275195,0.14278375
2016-10-11,-0.583766,-0.33704188,0.6148409,-0.35328746,-0.8778538,0.07663607,-0.04636067,-0.959473
2016-10-12,0.05249614,0.8244147,-0.0052598272,0.7768986,0.12354864,0.10085685,-0.25958183,-0.41664034
2016-10-13,-0.494141,-1.3252022,0.4224893,-1.2291601,-0.60333353,-0.3960402,0.422463,0.25263602
2016-10-14,-0.10341316,-0.80687696,0.014901891,-0.2819033,-0.47032487,0.2736185,-0.2234272,0.6795299
2016-10-17,0.13501094,-0.63464224,0.54833305,-1.3098229,0.57508034,0.23320405,0.69733846,-0.10619439
2016-10-18,0.42059073,0.34235603,-0.029805703,-0.12793045,0.64759064,-0.15078719,0.114088185,0.0360461
2016-10-19,0.2691118,-0.621798,-0.09590755,-0.5014507,0.31827265,-0.5370572,0.60066015,0.38103762
2016-10-20,-0.0752164,0.40656656,0.05241121,0.072197475,-0.4709879,0.6081522,-0.40028635,-1.2584139
2016-10-21,0.22659963,-0.66005594,-0.36757222,-0.2365333,0.11761812,-0.24735585,0.29249468,-0.13502744
2016-10-24,0.37635997,-0.103095606,-0.19771168,0.5998552,0.17010345,0.6448949,-0.5381699,0.5020992
2016-10-25,0.16590674,0.5738039,0.34560198,0.7168106,0.48246992,0.5449311,-0.92927605,1.3717201
2016-10-26,-0.47028217,-0.49867412,0.34583953,-0.46096843,-0.7298542,0.30817214,-0.18941371,0.25484723
2016-10-27,0.16375762,0.040709186,-0.44550422,0.5697598,0.24891135,-0.1282404,-0.1382457,0.7033204
2016-10-28,-0.14177443,1.4030507,0.31502715,0.7568215,0.08641973,0.2256177,-1.0131898,0.68849015
2016-10-31,-0.25101086,0.67112625,0.5885702,0.47051996,-0.39509967,0.47657,-0.8150057,-0.24322106
2016-11-01,1.1258712,0.8137419,0.06498093,-0.4632675,1.7201319,-0.07384074,-0.010087596,-0.38887513
2016-11-02,0.1919636,0.23842064,1.1342584,-0.73543775,0.00084451964,1.2635955,-1.16813,-0.057420176
2016-11-03,-0.21822241,0.24323368,-0.04694874,0.4458573,-0.45838374,0.713293,-0.32761118,-0.0060518836
2016-11-04,-0.27215064,-0.00844531,0.8847623,-0.37538323,-0.3884448,0.66807413,-0.46061316,0.08403911
2016-11-07,-0.116747275,-0.2892909,-0.65518373,0.891027,-0.38108763,-0.24182194,0.3506631,0.6035326
2016-11-08,0.31061023,-0.35788694,-0.11522447,-0.5305864,0.0036084726,0.1835987,-0.28466973,0.87923765
2016-11-09,0.19964713,1.4006166,-0.1557807,1.4246507,0.61873823,0.11867091,-0.39279452,-0.15734686
2016-11-10,0.1532395,0.40663788,-0.48522317,0.39404762,-0.21258181,0.19307569,-0.57579947,0.45343402
2016-11-11,-0.96535426,-0.5812878,-0.36161196,0.5834685,-1.9348569,0.23598263,0.34141865,-1.9512516
2016-11-14,0.017515687,0.56172633,-0.48866406,1.2834876,-0.4151274,0.6174557,-0.5167056,-0.38529822
2016-11-15,0.84209114,-1.1183697,-0.7236374,-1.2086024,0.9734979,-1.2412311,1.4266987,0.59846336
2016-11-16,-0.4430374,0.5868521,-0.018705763,-0.049672585,-0.6690252,-0.39661014,-0.1499669,-0.6248869
2016-11-17,-0.14135271,-0.4155493,-0.21416722,0.36851984,-0.32697394,-0.22917354,0.22498316,0.046669994
2016-11-18,-0.8800086,-0.65077275,-0.21232891,0.24172261,-0.90010864,-0.46692052,0.50206846,-0.03722578
2016-11-21,0.22079366,-0.47999614,-1.225223,0.9603191,0.4832046,-1.2095845,0.47194242,2.0222044
2016-11-22,0.025561,0.46300712,-0.20012318,0.27455184,0.36503628,-0.22304285,-0.103323266,0.64663726
2016-11-23,-0.078288615,-0.6320305,-0.98292726,0.63584095,-0.9217094,0.026521672,-0.045420676,0.54941976
2016-11-25,-0.09663702,0.53266335,0.01664681,1.057548,-0.7733895,1.1149073,-1.2876989,0.112674646
2016-11-28,0.6127586,-0.088165805,-0.44173884,-0.16202419,0.78559417,-0.116189934,0.3761521,0.78711593
2016-11-29,-0.4916914,1.0106428,1.034298,-1.0484549,-0.3519313,0.32958645,-0.11584572,-2.3639646
2016-11-30,-0.09990824,-0.44766587,-1.4515982,0.26377362,0.76198554,-1.9345199,1.7719305,0.5576134
2016-12-01,0.11717966,0.21591875,-1.023643,0.39234248,0.47598958,-1.6586341,1.2671505,-0.07985915
2016-12-02,0.25899428,0.021491522,0.65315443,-1.2142376,0.67798746,-0.34703672,0.07795503,0.4163853
2016-12-05,-0.3528363,0.22188905,-0.068043604,0.59001654,-0.21345845,0.04838823,-0.6257831,1.6308148
2016-12-06,-0.22039068,-0.47619253,-0.059439655,0.5784964,-0.796623,0.7192878,-0.63650984,-0.04315866
2016-12-07,-0.13577949,0.28161252,0.99829346,-0.59457415,0.14363031,0.43919435,-0.6372846,-0.1676496
2016-12-08,-0.29197493,0.25979686,-0.06505077,0.34400254,0.034171216,-0.6726829,0.54858595,-0.83252263
2016-12-09,-0.37662846,-0.5983508,-0.6531723,0.51069236,-0.7174654,-0.39819613,0.24527127,0.41936928
2016-12-12,0.6442619,-0.55883837,-0.0607638,-0.3862571,0.93073237,-0.43353316,0.40637156,0.28855315
2016-12-13,-0.14220268,-0.02235217,-0.33221045,0.014669959,-0.09309374,-0.4855438,0.47803703,-0.27556893
2016-12-14,-0.022256665,0.9735671,0.29573014,0.7156505,-0.07269187,0.66845983,-1.0416579,0.28396153
2016-12-15,-0.35808656,-1.8031235,-0.9086836,0.19755973,-1.7220653,-0.0860531,0.46153724,-0.7121068
2016-12-16,0.22504942,0.06920498,0.23275223,-0.91505116,0.64601135,-0.7095798,0.34110317,0.31628788
2016-12-19,-0.34560362,-0.17881197,0.41385338,-0.67115456,-0.31608212,-0.2419774,0.39962417,-1.4189616
2016-12-20,0.5192997,0.3250936,-0.2278954,0.123364635,0.8071411,0.10894258,0.39736786,-0.48810688
2016-12-21,-0.42714998,0.21535905,-0.27733395,0.5976994,-0.66127545,-0.03677789,-0.18400097,-0.173984
2016-12-22,0.16182806,0.33544892,-0.36883146,0.3396879,0.223186,-0.3073872,0.23971458,-0.86278355
2016-12-23,-0.10688003,-0.10082284,-0.07941255,-0.38460353,-0.11936392,-0.38519955,0.4843724,-1.0847429
2016-12-28,-0.0033549678,-0.3379688,-0.53768367,-0.0011924941,0.34897363,-0.7907094,0.5231097,1.2263007
2016-12-29,0.37620455,-0.42508703,0.49884248,-0.72590196,0.43163678,0.31689554,-0.28548655,0.22140807
2016-12-30,0.039598398,-0.2509932,-0.28746006,0.5726002,-0.18020713,0.24217111,-0.05696201,0.15842056
2017-01-03,0.65696615,-0.06500787,1.491081,-1.5619899,1.2533364,0.9673474,-0.2593538,0.006755493
2017-01-04,0.23275958,-0.62770766,-0.26086968,0.60300535,-0.03493447,0.37824088,-0.51447797,2.1001267
2017-01-05,0.2584116,0.21359487,0.52933675,-0.6407203,0.64463454,0.2797244,-0.35089478,0.7207301
2017-01-06,-0.008126502,0.29036075,-0.31699702,0.5462861,0.12890448,-0.122217625,0.3036831,-0.593625
2017-01-09,0.0035366497,0.22387266,0.88000476,-0.4275853,-0.2980495,1.5256182,-1.4095448,0.46257237
2017-01-10,-0.07088055,0.56687653,0.05329218,0.67548245,-0.34844536,0.95308244,-1.2675477,1.0992678
2017-01-11,0.38699,-0.30758435,-0.40358707,-0.12741055,0.70529824,-0.9299803,0.7979462,-0.10675453
2017-01-12,-0.032608055,-0.30009714,-0.21150108,0.1002728,0.04431886,-0.2079589,0.12850441,1.5084964
2017-01-13,0.13530304,0.1478585,-0.26331365,0.42223275,-0.11710092,0.5254746,-0.3595153,0.3415688
2017-01-17,-0.16715296,-0.77241504,0.5804179,-1.4570795,-0.10433278,-0.022299798,-0.04367209,0.355511
2017-01-18,-0.16038021,0.097246006,0.4574182,0.38761494,-0.23818025,1.1680824,-0.98818094,0.19731662
2017-01-19,-0.75439554,0.23528224,-0.30932084,0.8470731,-0.8158989,-0.49944392,0.25450888,-0.6884333
2017-01-20,0.66936326,-0.31283936,-0.047018327,-0.49262524,1.152032,-0.46161735,0.66999507,0.32377294
2017-01-23,0.254733,0.26779124,0.1829439,0.18801092,0.35859826,0.452617,-0.46723774,0.55221677
2017-01-24,0.50824046,0.863382,-0.4549259,0.50076735,0.7296786,-0.15503855,0.10974095,0.28407493
2017-01-25,-0.92443085,0.054729413,0.11117981,0.456336,-1.3638145,-0.03179946,-0.07269399,-0.71930844
2017-02-06,1.6061854,0.44488928,0.4341847,-1.3763467,1.7581288,0.4299612,-0.15953259,-0.27593875
2017-02-07,-0.32015982,0.014499675,0.34256136,-0.41482678,-0.6183548,0.45339787,-0.5545006,-0.00089973025
2017-02-08,0.34470093,-0.30290776,-0.54311997,0.359828,0.19963111,-0.06827428,0.024435857,1.0068154
2017-02-09,-0.014856599,-0.42554855,-0.07924454,-0.05123518,0.019078942,-0.25538233,0.31664553,-0.00673401
2017-02-10,0.33947617,0.008515985,-0.5184415,0.71172947,0.3658762,-0.076845,-0.14763479,1.4637091
2017-02-13,-0.43881047,0.09666058,0.45958367,0.17696212,-0.74479693,0.42679957,-0.4006309,-0.43911
2017-02-14,0.05561277,-0.26704195,-0.08982322,0.29641372,0.30218455,-0.13683572,0.14531827,-0.18032442
2017-02-15,-0.097738914,-0.17246456,0.55648,-0.62693596,0.19423416,0.29125246,-0.18977197,0.54369795
2017-02-16,0.32855824,1.0035311,0.30956614,-0.10074502,0.77582896,0.073700264,-0.048796095,-0.8505239
2017-02-17,-0.3083115,0.31659338,0.06396847,0.63115674,-0.20158395,-0.1955928,0.06226852,-0.81264025
2017-02-21,0.78120136,-0.5233583,-0.28032425,0.70372474,0.60298187,0.4047967,-0.17098805,0.25627387
2017-02-22,-0.26574183,-0.2421937,-0.02365442,-0.1716295,-0.43558952,0.33870873,-0.05484232,-0.27590877
2017-02-23,0.381014,0.19779697,0.13505134,-0.99545944,0.7220514,-0.674383,0.64575475,-1.0234476
2017-02-24,0.24762642,1.1034524,-0.01968721,0.4027647,0.3365079,0.38605142,-0.88977957,0.58231455
2017-02-27,0.022429133,0.98860586,-0.36023006,0.57904816,0.24268286,-0.60061723,-0.001114998,-0.35177782
2017-02-28,-0.33131668,-0.9388533,0.056755047,-0.44161528,-0.7161053,0.49625245,-0.3043116,1.0074034
2017-03-01,0.10714687,-1.525208,-0.043481953,-0.3422845,0.0024240816,-0.62087995,0.8999998,1.0143588
2017-03-02,-0.76210856,-0.22361068,0.38831446,-0.15881787,-1.4149567,0.392051,0.24662167,-2.2287285
2017-03-03,0.014426986,-0.19493364,-0.32584658,-0.20224196,-0.040854473,-0.3735951,0.42994434,0.17651373
2017-03-06,-0.13678351,-0.13240099,-0.1846832,-0.3087263,-0.34932014,-0.5124116,0.3658207,-0.6172385
2017-03-07,-0.26452962,0.13591267,-0.030437438,-0.25796255,-0.34425697,-0.42241183,0.57162815,-1.6386298
2017-03-08,-0.5918932,0.4200504,0.41920915,0.51388854,-1.0011163,1.0713085,-0.69159234,-1.131514
2017-03-09,-0.72096074,0.8783433,0.20693173,0.450802,-0.91006815,0.29970086,-0.26740116,-1.3408313
