date,F1,F2,F3,F4,F5,F6,F7,F8
2014-07-07,0.30772206,1.5321277,0.13266613,0.5181463,0.54493475,0.118701674,0.2357084,-1.5038309
2014-07-08,0.17354047,0.70852315,0.17960218,1.1316503,0.51046085,0.44560403,-0.6643875,-0.22007377
2014-07-09,0.14990447,1.4673452,0.47591314,-0.17351967,0.74300575,-0.03886587,-0.3248541,-0.495971
2014-07-10,0.33570412,1.5029165,0.29705194,-0.8379599,1.0452732,-0.54266053,-0.00553034,-0.64437115
2014-07-11,0.092922814,1.5522801,-0.20309106,1.4591224,0.2529843,0.4580736,-0.96575195,-0.7813243
2014-07-14,-0.5767795,-0.857506,-0.28266338,0.9164523,-1.262607,0.27417204,1.3197266,-0.8851492
2014-07-15,0.80054533,1.9202515,0.23826946,1.9785167,1.4373729,-0.0006297342,-0.27632383,-1.2577721
2014-07-16,-0.11363381,-0.19397035,-0.29565224,-0.49584958,-0.06911348,0.086427905,0.31407204,-0.036523614
2014-07-17,0.9318356,0.09308842,0.35197893,-0.52942014,1.4313283,-0.059975125,-0.46777248,0.4094015
2014-07-18,-0.28015426,-0.009126319,0.16341098,0.5819939,-0.3532011,0.41641074,0.82233363,-0.9505071
2014-07-21,0.83512664,0.47025868,-0.31067646,1.3667065,1.0437497,0.46660286,-0.29470354,0.32747152
2014-07-22,0.21581268,0.41889283,-0.76974446,1.1355917,-0.4573659,0.331371,-0.5774823,0.069938004
2014-07-23,-0.6863216,-0.38582242,0.42257416,-0.52151096,-0.59214836,-0.075417034,0.056265064,0.27396885
2014-07-24,-0.727681,0.21154374,-0.29210037,1.2893949,-1.3300524,0.11569105,-0.0074620154,-0.52707857
2014-07-25,0.6066169,-0.5213169,0.20334317,-1.1001229,0.710555,-0.11888163,0.14747211,0.021633185
2014-07-28,-0.77518106,-0.16169563,0.24565487,-0.25999242,-0.6176444,0.1032195,-0.57190317,0.5575804
2014-07-29,-0.037148573,1.4884129,0.007824241,-0.15018329,0.24278182,-0.7598255,0.8465352,-1.3453242
2014-07-30,0.062778585,0.096161745,-0.05915497,0.68473065,0.23160425,1.0159626,-0.5586024,0.17089276
2014-07-31,-0.87437767,-0.32021636,0.77013266,-0.297633,-0.94397473,0.101652,0.60928,-0.9275399
2014-08-01,-0.0023970306,0.829696,0.8572132,-0.75282377,0.63760006,0.0836867,-0.42341933,-0.8360368
2014-08-04,-0.2949837,-0.8064738,-0.5361353,0.37201533,-0.7280662,0.3027487,-0.3513234,1.0749258
