date,F1,F2,F3,F4,F5,F6,F7,F8,F9
2016-11-23,0.11087982,-1.5323056,-0.7900876,0.024678169,-1.596589,0.64120084,-1.6042243,0.35148188,-0.99209553
2016-11-25,-0.47720954,-1.8732831,1.0592552,-0.2923956,-1.2299292,-1.0140779,-1.1256448,-0.8108999,-0.41229704
2016-11-28,0.75462186,0.66700894,-1.0963438,-0.41936284,1.4246001,0.89592856,0.20898691,-0.29610404,-0.4412613
2016-11-29,-2.0569057,-0.7439389,0.2177944,0.15935907,-0.8993213,-1.7749659,1.5050673,0.6238305,1.4001894
2016-11-30,1.7742087,0.9637231,-0.48508853,2.5433774,-0.10107085,2.2638836,0.15291388,1.0672207,-0.9674992
2016-12-01,1.1360277,1.0448115,0.45640725,2.204363,0.344353,1.4762216,0.6668978,0.22222628,-0.5136036
2016-12-02,0.08874594,1.4527782,-0.38818723,-0.93266714,1.1994785,0.098831974,0.11830036,0.05933727,0.23586589
2016-12-05,0.97373074,0.28458214,1.0706474,-0.53817314,0.06862656,0.23706053,-1.8125478,-0.31818986,-1.1293784
2016-12-06,-0.47612664,-1.1557115,0.15473975,-0.14115898,-1.1443232,-0.77023566,-0.9471294,0.2584876,-0.31200033
2016-12-07,-0.49843866,-0.45270944,0.9364606,-0.86585826,0.20085448,-1.0761479,-0.28686073,0.23494285,0.2991586
2016-12-08,-0.44278333,0.5002954,0.70806974,1.2621671,-0.67907083,0.33050308,0.744955,0.031500246,0.19378346
2016-12-09,0.02933304,0.8116881,-0.48486575,0.30032638,-0.7784406,0.6424883,-0.83817357,0.24499258,-0.31471366
2016-12-12,0.61992335,0.83882314,-0.15044735,0.26447958,0.6907571,0.8427207,-0.26401344,-0.16537309,-0.34895417
2016-12-13,-0.26872772,1.3253877,-0.12665637,0.66705143,-0.057211354,0.3934984,0.26160458,0.059060488,0.14484201
2016-12-14,0.19788688,-0.7787987,2.1260254,-0.29186222,0.5644288,-1.0166849,-0.5483969,-0.7058119,-0.12079189
2016-12-15,-0.9286801,-1.0683174,-2.0673692,0.5400534,-2.68418,0.7100079,-0.67833185,0.8806312,-0.3180357
2016-12-16,0.65927804,1.4365617,0.8388956,0.55897284,0.77365357,-0.018641548,0.16030891,1.0573343,0.09417429
2016-12-19,-1.0344645,0.8121528,-0.15653124,0.86499166,-0.67475504,-0.57200646,0.8019276,1.2822844,0.98124725
2016-12-20,-0.06842339,0.1241916,-0.53847075,0.24615665,0.9146116,0.8717395,0.9219832,-1.1587218,0.24371478
2016-12-21,-0.31370783,-0.5744104,0.83680093,0.85574794,-1.629714,-0.3872933,-0.7500954,0.48589492,-0.4243734
2016-12-22,-0.54001564,0.313008,-0.08230969,0.8483263,0.3002635,0.53989464,1.2815279,-1.1198196,0.41200548
2016-12-23,-0.6662273,0.4267323,-0.28224415,1.0031958,-0.45189288,0.014638512,0.7928187,0.49732006,0.56661016
