date,F1,F2,F3,F4,F5,F6,F7,F8,F9
2021-10-20,1.189824,-0.0824407,0.00466479,-0.015157377,0.07368638,-0.04143655,-0.085560635,0.07709892,-0.0105422875
2021-10-21,-1.8154039,0.075949326,-0.16083793,-0.08986805,-0.122948,0.030080434,0.1496657,0.09182464,0.060485717
2021-10-22,0.21904819,0.049210254,-0.024494292,0.02214612,0.037942864,0.012331475,0.010820678,-0.010381635,0.019015716
2021-10-25,0.8847197,-0.046185717,0.015711933,-0.009480036,0.02377705,0.051565822,-0.037948117,0.064362295,-0.043107282
2021-10-26,-0.47062007,0.09248829,-0.041453402,0.09834833,0.070248164,0.108019724,-0.01943613,-0.08010934,-0.11676603
2021-10-27,-1.3536326,0.111146875,-0.07138758,-0.08050968,-0.12098962,-0.20375101,-0.0048252475,0.0488286,0.1686867
2021-10-28,0.25060827,0.06879256,-0.021626463,-0.014832876,0.037937656,-0.0006288057,-0.1362419,-0.023005553,-0.06089832
2021-10-29,-0.1374852,0.0042318366,0.011329966,0.14236878,0.057618726,-0.0054864013,0.004104976,-0.10817779,-0.09643787
2021-11-01,0.2831114,-0.030623171,-0.08883723,-0.089995265,0.082155235,-0.13894086,0.06624933,0.1764621,0.13075529
2021-11-02,-0.5514099,0.04836173,0.005453334,0.17108159,-0.03527743,0.08418847,0.10179707,-0.05780821,-0.11745757
2021-11-03,-1.2321831,0.016651904,0.013948836,-0.10746098,-0.14775267,-0.14570664,-0.02767354,-0.04792715,0.088445745
2021-11-04,-0.6917357,-0.08108185,0.027268872,-0.10384536,-0.08107007,-0.0944569,0.10652641,0.09886027,0.28076103
2021-11-05,0.5102992,-0.029036677,-0.0009091204,0.09546699,0.05720116,0.18089877,0.103280686,0.0033642307,0.039938986
2021-11-08,0.6298539,-0.08375521,0.021845685,-0.05807082,0.028238451,0.076401256,-0.030463174,0.0020340772,0.07095913
2021-11-09,0.4728553,0.052215137,-0.038671337,0.108010344,0.10919241,0.113704324,-0.03788169,-0.07554258,-0.19569312
2021-11-10,-0.06916314,-0.044061985,-0.039739937,-0.21481967,0.0040925266,-0.21167284,-0.13324837,0.13950302,0.26746282
2021-11-11,0.8884141,-0.07322563,0.044063095,-0.19550313,0.05126193,-0.034032602,-0.12095049,0.07697933,0.05795578
2021-11-12,-0.014474634,0.031841464,-0.035714954,-0.19808492,-0.03820042,-0.08047666,-0.24515262,0.087539025,0.09067001
2021-11-15,-0.45631617,0.07944655,0.024223762,0.10878305,-0.059845127,-0.049185038,0.06639704,-0.010344453,-0.08175287
2021-11-16,-0.21896449,0.036291182,-0.00821429,0.17372848,0.025123546,0.12061869,0.102487646,-0.057700142,-0.13773851
2021-11-17,-0.20174636,0.019240158,-0.07181775,-0.18356507,0.014257508,-0.15287682,-0.18800022,0.14113617,0.17475978
2021-11-18,-0.1813111,0.02779666,0.050703257,0.116119094,-0.043734767,0.08407097,0.06271189,-0.07816924,-0.020807324
2021-11-19,-0.42648974,-0.050097156,0.028715448,-0.20170191,-0.10878913,-0.17371534,-0.17683566,-0.008516647,0.14576021
2021-11-22,0.43518814,0.029688854,-0.0019115709,0.1621252,0.121479355,0.12569067,-0.0829317,-0.20323838,-0.2906295
2021-11-23,0.3712607,0.13769461,0.011337702,0.20387042,0.030127998,0.17425194,-0.01780972,-0.12396361,-0.24119923
2021-11-24,0.5226965,-0.028843077,-0.009111083,0.0032165982,-0.023031175,0.006835236,-0.07890857,0.047551844,-0.03000717
2021-11-26,-2.970059,-0.05461605,-0.048845503,-0.37343767,-0.3032045,-0.60604703,0.088403106,0.23347728,0.4433775
2021-11-29,0.20004453,0.030702395,0.005288665,0.27499744,0.08255676,0.25632185,0.15564373,-0.14237781,-0.21508753
2021-11-30,-2.1589036,0.074499376,-0.0690871,-0.062449224,-0.16990925,-0.0907133,0.11664183,0.0440342,0.188699
2021-12-01,-0.046352185,0.0048760804,-0.04003345,0.0790309,0.056728646,0.062376868,-0.025802957,0.0046069296,-0.10323681
2021-12-02,0.23722313,0.044466525,-0.0062621934,-0.03506567,0.0028022751,0.06443657,-0.15039639,-0.040592108,-0.086985186
2021-12-03,0.48303363,-0.0057741706,-0.00999665,-0.015931614,0.06937225,-0.026511041,-0.082835846,0.06269637,0.047059834
2021-12-06,0.858205,0.030270895,0.00639987,0.21289854,0.14369231,0.24395896,0.014659886,-0.10683623,-0.22044264
2021-12-07,1.0417796,0.022459274,0.0021709253,0.14599122,0.14053422,0.22972259,0.044603597,-0.06695181,-0.12766533
2021-12-08,0.38498437,-0.027200153,-0.011419479,0.1054716,0.117607124,0.20618312,-0.027192868,-0.064025946,-0.1167077
2021-12-09,-0.9511598,0.07677865,-0.04473782,0.12629716,-0.028085006,0.08791204,0.03926304,-0.008003937,-0.040635735
2021-12-10,-0.049323175,-0.010087888,-0.0087962905,0.047638394,0.051578484,0.10053585,0.012456647,-0.048958864,0.020678839
2021-12-13,-0.18068103,-0.04600386,-0.021839872,-0.061156966,0.022144284,0.028346732,-0.028486265,0.023532018,0.10089829
2021-12-14,-0.80540234,0.08712296,0.010253898,0.08859195,-0.036492314,-0.008441402,0.03615369,-0.07739436,-0.051265884
