macro,block,dim1,dim2,dim3,dim4,dim5
fx_usdzar,metals,-0.6271531942162486,-0.060330506256037954,-0.08181895634286994,,
ust_10y,metals,-0.10837978254311449,-0.67442265506754,-0.17622834922644265,,
ust_5y,metals,-0.13892720391472585,-0.6735384472735759,-0.1976599270481819,,
ust_2y,metals,-0.15932484213920928,-0.5766025498629762,-0.15410155535380282,,
tips_10y,metals,-0.30134377786343114,-0.528020110819329,-0.20370045268401285,,
tips_5y,metals,-0.3574409447839424,-0.49044204262240704,-0.21748200839114684,,
be_10y,metals,0.3127730307312887,-0.34818667162452444,0.014829943865807091,,
be_5y,metals,0.33037413870756605,-0.2940481479947545,0.050672846658169374,,
inflsw_5y,metals,0.3214201724804926,-0.3188189537229228,0.08294217846586953,,
inflsw_10y,metals,0.3047086851091321,-0.3513800410577846,0.03421715788157701,,
cny_10y,metals,0.07577285378840229,-0.23814717167955124,-0.029985463532137026,,
hy_oas,metals,-0.3569582244591304,0.5070776348206946,0.13005953141166474,,
ig_oas,metals,-0.28528650413835627,0.23918432082408467,0.2575174921313888,,
vix,metals,-0.2869779720147274,0.22983840739839914,0.18033816675804715,,
move,metals,-0.22125387499773425,0.11849099756781635,0.1573366837456188,,
ovx,metals,-0.1718149352791869,0.05588197187291708,0.23653223235536014,,
gvz,metals,-0.03565482667202948,0.26491651371524677,0.3182515990719718,,
spx,metals,0.3713125375455588,-0.2442836224913693,-0.16029180154520717,,
mxwo,metals,0.5298680132407628,-0.23559746377573018,-0.2045451107560383,,
mxef,metals,0.628763885297369,-0.24155821267679145,-0.24174677375314108,,
csi300,metals,0.36695021131647076,-0.3404743316749483,0.1218606805637709,,
shcomp,metals,0.3711763245198547,-0.32637118360948664,0.1688816741457658,,
hscei,metals,0.4109187804891107,-0.32069548149101124,-0.2233116109438657,,
xle,metals,0.40762791841397217,-0.43722108776291413,0.14430511300089713,,
bdiy,metals,-0.014506082540323225,-0.1046418179025773,0.06342566095670148,,
bdti,metals,-0.040455215491047726,-0.1467488086128957,-0.06366523543689087,,
gpr,metals,0.015749118529166717,-0.07500788351925784,0.11109979718589376,,
epu,metals,0.06055208067367138,0.06860898360020004,0.0805897327613959,,
