n_factors,lr,weight_decay,epochs,beta,train_mse,test_mse
7,0.001,0.0,300,0.3,0.634213822302157,0.7404547362328726
5,0.001,0.0,300,0.5,0.6545446842821406,0.7413955003223021
7,0.001,0.0001,300,0.3,0.6354085132118235,0.7416143979355998
7,0.001,0.0,300,0.5,0.6369906122215014,0.7421102564873527
5,0.001,0.0001,300,0.5,0.655504289284807,0.7425947319343558
7,0.001,0.0001,300,0.5,0.6383352366332256,0.7434341138118048
3,0.005,0.001,300,1.0,0.6593067672840407,0.7447009054031061
8,0.005,0.001,100,1.0,0.6418662741314992,0.7448496878959271
4,0.005,0.001,100,0.8,0.6558060847907505,0.7461981042129604
3,0.005,0.001,200,1.0,0.6612190745381449,0.7468975722466946
7,0.005,0.001,100,1.0,0.6487123363260269,0.7471010393671832
6,0.001,0.0,300,0.3,0.6458362447683699,0.7482915021250923
6,0.001,0.0001,300,0.3,0.6462965753024642,0.7485913386699972
9,0.005,0.001,100,1.0,0.6481053393281485,0.7489163738162795
3,0.005,0.001,100,0.3,0.6649014694444021,0.7492170603103494
3,0.005,0.001,100,0.5,0.6644330631893264,0.7493123366353606
5,0.001,0.001,300,0.3,0.6612153776299765,0.7494434529150099
4,0.005,0.0,100,1.0,0.6570805267404506,0.7495090580708065
3,0.005,0.0001,100,0.5,0.6645157811035862,0.7499047683171362
3,0.005,0.0,100,0.5,0.6647294017898928,0.7502797061245131
4,0.005,0.0001,100,1.0,0.6581721066914595,0.7505253735945703
6,0.001,0.0,300,0.5,0.6492253607520464,0.7512713990300282
3,0.005,0.0001,100,0.3,0.6660007427011636,0.7512858144451067
6,0.001,0.0001,300,0.5,0.6497730360078657,0.7516676779528777
6,0.001,0.001,300,0.3,0.6507515884726799,0.7518688658549748
3,0.005,0.0,100,0.3,0.6663561775977198,0.7518949601515246
7,0.001,0.001,300,0.3,0.645943270607165,0.751913845875934
5,0.005,0.001,100,1.0,0.6602300106635979,0.7526099870244454
8,0.001,0.0,300,1.0,0.6480723064232353,0.7534359899435319
3,0.005,0.0001,100,0.8,0.6666644353035966,0.7542245358891352
3,0.005,0.0,100,0.8,0.66673523082863,0.7545104739994551
7,0.001,0.001,300,0.5,0.6496050605628083,0.7549908202028244
6,0.005,0.0,300,2.0,0.6606864375300666,0.7551249851486693
3,0.005,0.001,100,0.8,0.6676762235805914,0.7551485689383246
8,0.001,0.0001,300,1.0,0.6498013716060058,0.7553131667329116
8,0.001,0.001,300,0.8,0.6501977957817457,0.7556612791026908
6,0.001,0.001,300,0.5,0.6553244038445848,0.7563588026913831
5,0.001,0.001,300,0.5,0.6665226671199372,0.7566063319913987
7,0.001,0.0,300,0.8,0.6510960721793582,0.7573351288065818
5,0.001,0.0,300,0.8,0.666187258952926,0.7578113853744347
6,0.005,0.0001,300,2.0,0.6633819124311902,0.7583128604919592
7,0.001,0.0001,300,0.8,0.6522849128016884,0.7585466004712323
5,0.001,0.0001,300,0.8,0.6675176021546374,0.7594530310776374
3,0.005,0.0001,100,1.0,0.6701257062768841,0.7598348896032843
3,0.005,0.0,100,1.0,0.6700951130975489,0.7599699946213775
5,0.005,0.0,300,2.0,0.666614053103582,0.7600065485087748
3,0.005,0.001,100,1.0,0.6716259575127183,0.7613080768279902
9,0.005,0.0,300,2.0,0.6663666990353689,0.7618202707577089
8,0.005,0.0,300,2.0,0.6668553081601639,0.7622743281222288
4,0.005,0.001,100,1.0,0.6702696696706494,0.7626532610872604
6,0.001,0.0,300,0.8,0.6614095061025544,0.7642204772217689
