date,F1,F2,F3,F4,F5,F6,F7
2018-08-29,-0.0034902426,-0.019970221,-0.9707667,-1.0277758,1.2968864,0.09591661,0.21337886
2018-08-30,-0.69006854,-0.99135333,-0.37661916,-1.3186024,-0.7098844,0.44055372,-0.49675268
2018-08-31,0.4873886,-0.15919352,-0.28624597,-1.9673716,1.1471127,-0.8357058,-0.4154546
2018-09-04,-0.53644204,-2.435455,0.3761555,-1.2896748,-0.4935592,0.035858553,-0.032221317
2018-09-05,-0.017056571,-0.7987447,1.0145663,0.97343963,-0.024273641,-0.0012907349,0.30749226
2018-09-06,-0.3896693,0.3573436,0.48335037,0.65308815,0.04981626,-0.50257987,1.0060672
2018-09-07,-0.10702664,-1.0715643,0.04297286,-0.4115993,0.39878294,0.58067757,-0.3830519
2018-09-10,0.87649393,-0.3067201,0.3859136,-0.35269123,0.6128919,0.4001877,-0.5379524
2018-09-11,-1.493437,0.09498159,-1.0004205,-0.91530704,-1.1497484,0.38294104,-0.20212564
2018-09-12,0.0033125554,0.6615363,0.6738899,1.8789849,0.10691328,0.9703146,0.03031533
2018-09-13,-0.90000814,-0.014180681,0.356341,0.6068404,-0.4594111,-1.0341253,1.02058
2018-09-14,-0.18906946,-1.2639434,0.14764607,-0.88760275,-0.71181464,0.055142973,0.15578932
2018-09-17,0.8161957,0.62524295,-0.5492962,-1.9751835,1.096034,-1.0418081,0.17961359
2018-09-18,-0.872727,1.7342564,-0.42579794,1.0617566,-0.07671752,0.5106197,0.7477634
2018-09-19,1.7567899,-0.0012044249,0.42552796,0.025743308,1.5193375,0.785575,-0.73261565
2018-09-20,1.2209241,0.66408175,0.1994367,-0.18368037,1.8912176,-0.29034153,0.26933333
2018-09-21,0.11564348,1.158783,-0.19537072,0.990407,0.7518157,0.8557823,0.38096106
2018-09-25,-0.83365893,1.0067799,-1.3500266,-0.934491,-0.263585,0.9057333,-0.95550597
2018-09-26,-0.2995629,-0.44500792,0.17879686,-0.055097587,-0.276624,0.049598567,0.53399897
2018-09-27,-0.46957368,-0.70836216,-0.7775315,-1.879582,0.4394828,0.06617524,-0.20888242
