date,F1,F2,F3,F4,F5,F6,F7
2019-09-24,0.04982394,0.009598886,0.05242708,0.047909636,-0.004093633,-0.5532366,0.18354861
2019-09-25,-0.09860399,-0.11917044,-0.025833892,0.010592732,-0.045413982,-0.48384678,0.26319394
2019-09-26,0.002042963,-0.018800661,-0.0009981178,0.019457653,0.008361886,-0.071452565,0.025943035
2019-09-27,-0.011450629,-0.018131686,0.018221555,-0.014242389,-0.04696655,-0.08128455,0.06321544
2019-10-08,0.11829749,-0.011879497,-0.03291299,0.101832,0.13863038,-0.46695367,-0.0059311623
2019-10-09,0.021165302,-0.014657013,0.030675754,0.009530964,0.039849974,0.23422416,-0.06462535
2019-10-10,-0.072803885,-0.008432103,-0.018293502,-0.015305184,-0.059254266,0.3596841,-0.06338071
2019-10-11,0.009567939,-0.07387087,-0.053406447,-0.07764848,0.059098203,0.6328327,-0.24252683
2019-10-14,0.0642271,0.033711616,0.060045406,0.042732228,0.05370751,-0.5373815,0.15170166
2019-10-15,-0.06942568,-0.101854965,0.03464468,0.0723846,-0.02032789,0.07390366,0.022093238
2019-10-16,-0.00973394,-0.025966354,-0.015417827,-0.021131933,0.016777756,0.07402021,-0.08396903
2019-10-17,0.024069391,0.0139951985,-0.02036585,-0.02708696,0.04058041,0.15604685,-0.07113029
2019-10-18,-0.026924195,-0.015151642,0.0070241415,-0.021120012,0.031094756,0.19550766,-0.027283914
2019-10-21,0.007964217,0.02705976,0.019998943,0.022585908,0.0006434562,-0.32507503,0.1060733
2019-10-22,-0.0041591516,-0.042561304,-0.005557624,-0.04123794,-0.018005652,0.23209801,-0.05887994
2019-10-23,-0.004720997,0.012137057,-0.0067764516,-0.030796995,0.07116045,0.68286896,-0.17229423
2019-10-24,0.02199454,0.025317641,0.0064222612,0.012085078,0.07290609,0.4420415,-0.1552909
2019-10-25,0.03170197,-0.048811175,-0.0010653599,0.009546294,0.055104036,0.17042558,-0.08283058
2019-10-28,-0.03135101,-0.022440087,0.014724633,0.033474058,-0.018080685,-0.21033874,0.07031339
2019-10-29,-0.012150259,-0.0060059917,-0.007242999,0.009196943,0.0033937932,0.1720748,-0.012348988
2019-10-30,0.077961974,-0.006321131,0.046934333,0.0657229,0.02756845,-0.12501459,0.04521875
2019-10-31,0.08341125,0.033214618,0.04677382,0.08186327,0.021169689,-0.5841716,0.15480244
2019-11-01,0.041245893,-0.035255685,0.010637938,-0.09242291,0.14977922,1.0371829,-0.39526853
2019-11-04,-0.07931843,0.009371245,0.0056383703,-0.03600264,0.021239161,0.31804198,-0.09650939
2019-11-05,-0.1375188,-0.116491705,-0.054047983,-0.060185835,-0.05238323,-0.058541607,0.11499745
2019-11-06,0.059273567,0.002600619,0.025069242,0.03819946,-0.008129685,-0.5606373,0.19829203
2019-11-07,-0.15340851,-0.05976291,-0.054803297,-0.093084015,-0.13387552,-0.09653708,0.116005376
2019-11-08,-0.046419315,-0.060567603,-0.04025004,0.013982018,-0.037320606,-0.3373788,0.078811765
2019-11-11,-0.0063653206,0.025122643,-0.028391121,-0.023853803,-0.08294343,-0.6525646,0.17151836
2019-11-12,-0.003051569,-0.049463037,-0.029890472,-0.008847188,0.0006425314,-0.1336595,0.03401586
2019-11-13,-0.008358725,0.030618617,0.014735345,-0.00458549,0.0009478155,-0.27984014,0.060334306
2019-11-14,0.05949934,-0.015304751,0.04888531,0.050182156,0.03403267,-0.069560215,0.07174383
2019-11-15,-0.07310772,-0.034847848,-0.012603477,-0.073482394,-0.045832064,0.28130892,-0.049133454
2019-11-18,0.036382098,0.02295465,0.014096895,0.04702365,-0.03509698,-0.68702847,0.22197363
2019-11-19,0.074695565,0.06857954,0.041235045,0.0540292,0.02530379,-0.22798733,0.07579739
2019-11-20,-0.061621867,-0.07721208,-0.034628384,-0.10262591,0.08023353,0.42159343,-0.14647664
2019-11-21,-0.075380474,-0.100169554,-0.041467957,-0.09225928,0.003958317,0.1818027,-0.0745511
2019-11-22,-0.012910681,0.018521821,0.014908148,0.03304551,-0.003745809,0.046565704,0.017569752
2019-11-25,0.011501603,-0.068640925,-0.018882565,-0.023627454,0.050485093,0.04053053,-0.022580873
2019-11-26,-0.014280733,0.028546061,-0.001557034,0.0055669975,0.020949839,0.38865763,-0.13539165
2019-11-27,-0.02996427,-0.008885257,-0.0006176389,0.011401241,-0.07669125,-0.32686836,0.012980083
2019-11-29,0.14131239,0.052585807,0.030564614,0.066874646,-0.013265029,-0.81527877,0.09802241
2019-12-02,-0.015156624,-0.026110286,-0.023983685,-0.06708221,-0.013179843,-0.29029068,0.1079233
2019-12-03,0.059476994,0.02846059,0.09525943,0.05788045,0.022524718,-0.23379934,0.12316839
2019-12-04,-0.13238959,-0.018079631,-0.07394056,-0.09162014,-0.016682176,0.58016944,-0.16395292
2019-12-05,0.007854319,-0.016034506,0.04175553,0.0127734905,0.03731545,0.1941169,-0.025286011
2019-12-06,-0.12176122,-0.06983353,-0.06000322,-0.070155874,-0.028321516,0.5185449,-0.11701077
2019-12-09,0.0069197784,-0.008472002,0.02409628,-0.0012423526,0.05475412,0.12991221,-0.05640992
2019-12-10,0.036813285,-0.056390923,0.031194827,0.0005957374,0.10643988,0.42655295,-0.085567445
2019-12-11,0.07660972,0.041085035,0.05363316,0.0654189,0.025258891,-0.08596406,0.06607135
2019-12-12,0.046678554,-0.030832218,-0.007837764,0.0055183074,0.14899199,0.7978315,-0.27929732
2019-12-13,-0.047203537,0.04948248,-0.006954533,-0.032438967,0.016816054,0.31635788,-0.099818125
2019-12-16,0.105405375,-0.033142462,0.061026197,0.0040966277,0.22007033,1.0917877,-0.4482096
2019-12-17,-0.034367442,-0.00974971,-0.020257624,-0.03672657,0.01242255,0.18530999,-0.058148775
2019-12-18,-0.018971382,-0.020120159,-0.0040051444,0.02800176,0.008719962,-0.08270409,0.0357791
2019-12-19,-0.016266363,0.032956295,-0.013869071,0.020953322,0.027178824,0.43738982,-0.1624764
2019-12-20,0.009363733,-0.03762103,0.0065723537,0.028210955,0.017281758,-0.03275782,-0.012329557
2019-12-23,0.044851653,0.035218265,0.023751939,0.040799495,0.040460274,0.026093181,-0.0145062
